
# Time of snapshot: 2021-03-24T19:00:14Eastern Standard Time
# Number of frames accumulated: 0
# Scan time per exposure [us]: 100000
 Wavelength [nm], Intensity [RFU]:
580.5694844900961, 4492.788333333333
580.9921539235664, 3543.7444444444445
580.5694844900961, 5335.0344444444445
582.6822817167598, 5369.015555555556
581.8373278493451, 4745.219444444445
581.8373278493451, 4585.022777777778
581.4147683834901, 5085.030555555555
581.4147683834901, 5094.739444444444
581.8373278493451, 5060.758333333333
582.6822817167598, 4330.164444444445
581.8373278493451, 4803.472777777778
581.4147683834901, 3383.547777777778
581.8373278493451, 4759.7827777777775
580.9921539235664, 3381.1205555555557
580.146760103601, 4424.8261111111115
582.2598323006089, 3791.321111111111
