
# Time of snapshot: 2021-05-13T17:54:17Eastern Standard Time
# Number of frames accumulated: 0
# Scan time per exposure [us]: 100000
 Wavelength [nm], Intensity [RFU]
515.6967479345718, 34235.96944444445
515.2659093195042, 33218.96333333333
515.6967479345718, 35126.76
516.1275347159767, 33590.32833333333
517.4195838529922, 35420.45388888889
516.5582696431964, 37714.17888888889
516.5582696431964, 28485.88
515.6967479345718, 36165.61111111111
515.2659093195042, 49588.15
516.5582696431964, 36573.38444444445
517.4195838529922, 33932.56666666667
515.6967479345718, 39092.84111111111
517.4195838529922, 39092.84111111111
517.4195838529922, 38993.325000000004
516.1275347159767, 31044.172222222223
515.6967479345718, 36058.81333333333
514.4040766704684, 6958.84611111111
517.4195838529922, 21980.924444444445
515.6967479345718, 38828.27388888889
515.6967479345718, 27002.847222222223
516.1275347159767, 33944.70277777778
516.5582696431964, 31478.644999999997
516.5582696431964, 10767.157777777778
515.6967479345718, 33267.50777777778
515.6967479345718, 22058.595555555556
514.4040766704684, 27548.97222222222
517.4195838529922, 32884.00666666667
516.9889526957089, 45165.75111111111
515.6967479345718, 37019.99333333333
516.9889526957089, 11075.414999999999
516.9889526957089, 3878.701111111111
516.1275347159767, 38155.933333333334
516.5582696431964, 29138.802777777775
517.4195838529922, 38697.20388888889
516.1275347159767, 38303.99388888889
517.4195838529922, 35502.97944444445
513.9730826775443, 36546.685
517.4195838529922, 40668.10833333334
516.1275347159767, 16614.33611111111
518.2806903997824, 5830.187777777778
517.4195838529922, 18007.561666666665
516.9889526957089, 3000.0466666666666
516.9889526957089, 21696.939444444444
