
# Time of snapshot: 2021-03-24T19:08:35Eastern Standard Time
# Number of frames accumulated: 0
# 0.6 ul spacer oil 0.001 resorufin 20ng 0.004 oil
# Scan time per exposure [us]: 100000
 Wavelength [nm], Intensity [RFU]:
580.5694844900961, 3645.6877777777777
580.9921539235664, 3689.3777777777777
582.2598323006089, 3281.6044444444447
581.4147683834901, 3412.6744444444444
581.8373278493451, 3655.3966666666665
582.2598323006089, 3774.3305555555557
580.5694844900961, 3434.5194444444446
582.6822817167598, 3410.2472222222223
581.4147683834901, 3813.166111111111
580.5694844900961, 3827.7294444444447
581.8373278493451, 3827.7294444444447
582.2598323006089, 3881.1283333333336
581.8373278493451, 3822.875
581.8373278493451, 3830.1566666666668
582.6822817167598, 3767.048888888889
580.9921539235664, 3788.893888888889
580.9921539235664, 3786.4666666666667
581.4147683834901, 3781.612222222222
580.5694844900961, 3740.3494444444445
580.5694844900961, 3740.3494444444445
582.2598323006089, 3793.7483333333334
580.9921539235664, 3750.0583333333334
580.9921539235664, 3725.786111111111
582.2598323006089, 3754.9127777777776
581.4147683834901, 3762.1944444444443
582.2598323006089, 3762.1944444444443
582.6822817167598, 3737.9222222222224
581.8373278493451, 3784.0394444444446
581.8373278493451, 3835.011111111111
581.4147683834901, 3767.048888888889
581.8373278493451, 3810.738888888889
582.2598323006089, 3711.222777777778
580.9921539235664, 3764.6216666666664
580.5694844900961, 3725.786111111111
581.4147683834901, 3844.72
581.8373278493451, 3801.03
581.4147683834901, 3417.528888888889
581.4147683834901, 3754.9127777777776
579.7239807846037, 3509.7633333333333
581.4147683834901, 3801.03
581.4147683834901, 3815.5933333333332
581.8373278493451, 3798.6027777777776
581.4147683834901, 3667.532777777778
582.2598323006089, 3706.3683333333333
582.2598323006089, 3771.903333333333
581.4147683834901, 3458.7916666666665
580.9921539235664, 3786.4666666666667
581.8373278493451, 3745.2038888888887
582.6822817167598, 3706.3683333333333
581.4147683834901, 3805.8844444444444
580.5694844900961, 3713.65
581.8373278493451, 3713.65
583.1046760772754, 3842.2927777777777
582.2598323006089, 3788.893888888889
580.9921539235664, 3679.668888888889
582.2598323006089, 3728.213333333333
581.8373278493451, 3555.8805555555555
581.4147683834901, 3526.753888888889
581.8373278493451, 3500.0544444444445
581.8373278493451, 3473.355
581.8373278493451, 3495.2
581.4147683834901, 3315.5855555555554
582.2598323006089, 3478.2094444444447
581.8373278493451, 3456.3644444444444
580.146760103601, 3424.8105555555558
580.5694844900961, 3368.9844444444443
580.5694844900961, 3388.402222222222
581.4147683834901, 3441.801111111111
582.2598323006089, 3393.2566666666667
581.4147683834901, 4393.272222222222
582.2598323006089, 3936.9544444444446
581.8373278493451, 4218.512222222223
580.9921539235664, 3497.6272222222224
581.8373278493451, 3245.196111111111
581.4147683834901, 4825.317777777777
581.4147683834901, 4881.143888888889
580.9921539235664, 4716.092777777778
581.8373278493451, 4436.962222222222
581.8373278493451, 3225.778333333333
581.8373278493451, 4686.966111111111
581.8373278493451, 3757.34
581.8373278493451, 4364.145555555556
581.8373278493451, 4388.417777777778
581.8373278493451, 4434.535
583.1046760772754, 3711.222777777778
582.6822817167598, 4288.901666666667
581.4147683834901, 4322.882777777778
581.4147683834901, 4291.328888888889
581.4147683834901, 3412.6744444444444
581.8373278493451, 4303.465
580.9921539235664, 4267.056666666666
582.6822817167598, 4196.667222222222
580.5694844900961, 3900.5461111111113
580.5694844900961, 4208.803333333333
581.4147683834901, 4201.5216666666665
581.4147683834901, 3701.5138888888887
580.5694844900961, 3480.6366666666668
580.9921539235664, 4160.258888888889
