# FLAME spectrum data format
# Time of snapshot: 2021-02-08T18:31:16Eastern Standard Time
# Number of frames accumulated: 0
# Scan time per exposure [us]: 100000
# Wavelength [nm], Intensity [count]:
189.1861363086452, 1953.9138888888888
189.64926416366848, 1983.0405555555556
190.11235512512943, 2041.293888888889
190.57540917250594, 2012.1672222222223
191.03842628527582, 2026.7305555555556
191.50140644291702, 1987.895
191.9643496249074, 2089.838333333333
192.4272558107249, 2041.293888888889
192.89012497984731, 2084.983888888889
193.35295711175254, 2150.518888888889
193.81575218591854, 2126.2466666666664
194.27851018182312, 2152.946111111111
194.7412310789442, 2206.345
195.20391485675964, 2208.7722222222224
195.66656149474733, 2194.208888888889
196.12917097238517, 2225.762777777778
196.59174326915107, 2344.6966666666667
197.05427836452282, 2254.8894444444445
197.51677623797838, 2271.88
197.97923686899566, 2322.8516666666665
198.44166023705247, 2351.9783333333335
198.9040463216267, 2291.297777777778
199.36639510219626, 2322.8516666666665
199.82870655823908, 2322.8516666666665
200.29098066923297, 2351.9783333333335
200.7532174146558, 2410.2316666666666
201.21541677398554, 2366.5416666666665
201.6775787267, 2434.503888888889
202.13970325227712, 2390.813888888889
202.60179033019475, 2356.8327777777777
203.06383993993072, 2400.5227777777777
203.52585206096302, 2432.076666666667
203.9878266727695, 2495.1844444444446
204.44976375482798, 2419.9405555555554
204.91166328661643, 2480.621111111111
205.3735252476127, 2424.795
205.83534961729464, 2383.532222222222
206.2971363751402, 2400.5227777777777
206.75888550062717, 2478.193888888889
207.22059697323357, 2427.222222222222
207.68227077243716, 2446.64
208.14390687771592, 2364.1144444444444
208.6055052685476, 2419.9405555555554
209.0670659244102, 2410.2316666666666
209.5285888247816, 2468.485
209.99007394913966, 2410.2316666666666
210.4515212769622, 2446.64
210.9129307877272, 2429.6494444444443
211.3743024609125, 2424.795
211.835636275996, 2424.795
212.29693221245557, 2449.0672222222224
212.7581902497691, 2351.9783333333335
213.21941036741444, 2434.503888888889
213.68059254486954, 2432.076666666667
214.14173676161224, 2441.7855555555557
214.60284299712043, 2439.358333333333
215.06391123087198, 2458.7761111111113
215.52494144234484, 2354.4055555555556
215.9859336110168, 2412.6588888888887
216.4468877163658, 2364.1144444444444
216.9078037378697, 2492.757222222222
217.36868165500644, 2463.6305555555555
217.82952144725382, 2407.8044444444445
218.29032309408976, 2461.2033333333334
218.75108657499214, 2368.968888888889
219.2118118694389, 2466.0577777777776
219.67249895690784, 2422.367777777778
220.13314781687689, 2449.0672222222224
220.5937584288239, 2368.968888888889
221.0543307722268, 2497.6116666666667
221.51486482656347, 2492.757222222222
221.97536057131174, 2364.1144444444444
222.43581798594948, 2429.6494444444443
222.8962370499547, 2483.048333333333
223.35661774280518, 2439.358333333333
223.81696004397878, 2490.33
224.2772639329535, 2412.6588888888887
224.73752938920714, 2424.795
225.1977563922176, 2422.367777777778
225.65794492146279, 2439.358333333333
226.1180949564205, 2451.4944444444445
226.57820647656874, 2451.4944444444445
227.03827946138532, 2436.931111111111
227.4983138903481, 2310.7155555555555
227.95830974293503, 2385.9594444444447
228.418266998624, 2407.8044444444445
228.87818563689282, 2402.95
229.33806563721944, 2400.5227777777777
229.79790697908172, 2487.902777777778
230.25770964195752, 2417.5133333333333
230.71747360532476, 2390.813888888889
231.1771988486613, 2422.367777777778
231.63688535144504, 2395.6683333333335
232.09653309315385, 2415.086111111111
232.5561420532656, 2381.105
233.01571221125823, 2429.6494444444443
233.4752435466096, 2451.4944444444445
233.93473603879755, 2422.367777777778
234.3941896673, 2398.0955555555556
234.85360441159483, 2531.592777777778
235.31298025115996, 2458.7761111111113
235.77231716547317, 2470.912222222222
236.23161513401246, 2485.4755555555557
236.69087413625567, 2439.358333333333
237.15009415168063, 2466.0577777777776
237.60927515976533, 2453.9216666666666
238.0684171399876, 2436.931111111111
238.52752007182528, 2390.813888888889
238.9865839347563, 2415.086111111111
239.44560870825856, 2424.795
239.90459437180988, 2417.5133333333333
240.36354090488823, 2415.086111111111
240.82244828697142, 2400.5227777777777
241.28131649753738, 2422.367777777778
241.740145516064, 2441.7855555555557
242.1989353220291, 2453.9216666666666
242.65768589491063, 2422.367777777778
243.1163972141864, 2395.6683333333335
243.5750692593344, 2553.4377777777777
244.03370200983244, 2393.241111111111
244.49229544515842, 2456.3488888888887
244.95084954479023, 2398.0955555555556
245.40936428820572, 2412.6588888888887
245.8678396548828, 2434.503888888889
246.3262756242994, 2461.2033333333334
246.7846721759333, 2419.9405555555554
247.2430292892625, 2347.123888888889
247.7013469437648, 2441.7855555555557
248.15962511891811, 2398.0955555555556
248.61786379420033, 2466.0577777777776
249.0760629490893, 2439.358333333333
249.53422256306294, 2432.076666666667
249.9923426155991, 2359.26
250.4504230861757, 2419.9405555555554
250.90846395427067, 2347.123888888889
251.3664651993618, 2453.9216666666666
251.82442680092703, 2417.5133333333333
252.2823487384442, 2502.4661111111113
252.7402309913912, 2390.813888888889
253.19807353924597, 2417.5133333333333
253.65587636148632, 2490.33
254.1136394375902, 2478.193888888889
254.57136274703547, 2383.532222222222
255.02904626929998, 2449.0672222222224
255.48668998386165, 2439.358333333333
255.94429387019835, 2470.912222222222
256.401857907788, 2444.212777777778
256.8593820761084, 2451.4944444444445
257.3168663546375, 2410.2316666666666
257.77431072285316, 2449.0672222222224
258.2317151602333, 2417.5133333333333
258.6890796462558, 2441.7855555555557
259.14640416039845, 2500.038888888889
259.6036886821393, 2366.5416666666665
260.0609331909561, 2400.5227777777777
260.51813766632677, 2439.358333333333
260.9753020877292, 2475.766666666667
