
# Time of snapshot: 2021-03-24T20:18:57Eastern Standard Time
# Number of frames accumulated: 0
# 0.2 ul spacer oil 0.001 resorufin 60ng 0.004 oil
# Scan time per exposure [us]: 100000
 Wavelength [nm], Intensity [RFU]:
582.2598323006089, 5162.701666666667
581.4147683834901, 4912.697777777777
583.1046760772754, 3233.06
582.2598323006089, 3742.7766666666666
581.8373278493451, 5119.011666666666
582.2598323006089, 5259.790555555555
581.8373278493451, 5407.851111111111
582.2598323006089, 5427.268888888889
582.6822817167598, 5434.550555555556
582.2598323006089, 5412.705555555555
581.4147683834901, 3441.801111111111
581.8373278493451, 5094.739444444444
582.2598323006089, 5279.208333333333
582.2598323006089, 5286.49
582.2598323006089, 5320.471111111111
581.8373278493451, 5269.499444444445
581.8373278493451, 4165.113333333334
581.8373278493451, 4060.742777777778
582.2598323006089, 5247.654444444444
581.8373278493451, 5507.367222222222
581.8373278493451, 5369.015555555556
581.4147683834901, 4252.493333333333
582.2598323006089, 3801.03
581.4147683834901, 5310.762222222223
582.2598323006089, 5291.344444444445
581.8373278493451, 3529.181111111111
582.2598323006089, 4830.172222222222
582.2598323006089, 5177.265
581.4147683834901, 5286.49
581.8373278493451, 5359.306666666666
581.8373278493451, 5000.077777777778
581.8373278493451, 3203.9333333333334
581.4147683834901, 5169.983333333334
581.4147683834901, 5262.217777777778
582.6822817167598, 4347.155
581.8373278493451, 5313.189444444444
581.4147683834901, 5194.2555555555555
580.9921539235664, 5293.7716666666665
581.4147683834901, 5381.151666666667
580.9921539235664, 3402.9655555555555
582.2598323006089, 5002.505
581.4147683834901, 5342.316111111111
581.4147683834901, 5347.170555555555
582.2598323006089, 5172.410555555555
581.8373278493451, 3349.5666666666666
581.8373278493451, 5274.353888888889
581.8373278493451, 5196.682777777778
581.4147683834901, 5257.363333333334
581.8373278493451, 5094.739444444444
582.2598323006089, 5203.964444444445
582.6822817167598, 5143.283888888889
581.4147683834901, 5131.147777777778
580.9921539235664, 5097.166666666667
581.8373278493451, 5136.002222222222
582.6822817167598, 3995.2077777777777
582.6822817167598, 4723.374444444445
581.4147683834901, 5143.283888888889
581.8373278493451, 5157.847222222223
581.8373278493451, 5004.932222222223
581.8373278493451, 5123.866111111111
581.4147683834901, 4218.512222222223
580.9921539235664, 3873.846666666667
580.146760103601, 3216.0694444444443
583.1046760772754, 3808.3116666666665
581.8373278493451, 5145.711111111111
583.1046760772754, 4968.523888888889
582.6822817167598, 4912.697777777777
581.4147683834901, 4927.261111111111
582.2598323006089, 3558.3077777777776
581.8373278493451, 3737.9222222222224
581.4147683834901, 4395.699444444444
581.8373278493451, 3708.7955555555554
582.6822817167598, 5002.505
582.2598323006089, 4951.533333333334
581.8373278493451, 5237.945555555556
582.2598323006089, 5172.410555555555
581.8373278493451, 5123.866111111111
582.2598323006089, 5111.73
581.8373278493451, 5002.505
581.4147683834901, 4946.678888888889
581.8373278493451, 4793.763888888889
582.6822817167598, 3694.2322222222224
580.9921539235664, 4349.582222222222
581.4147683834901, 5119.011666666666
582.2598323006089, 5155.42
581.8373278493451, 5102.021111111111
581.8373278493451, 5136.002222222222
581.8373278493451, 5169.983333333334
582.2598323006089, 5136.002222222222
581.8373278493451, 4956.387777777778
581.8373278493451, 5072.894444444444
582.6822817167598, 5053.4766666666665
580.9921539235664, 5012.2138888888885
581.4147683834901, 4944.251666666667
581.4147683834901, 3650.5422222222223
580.9921539235664, 4961.242222222222
582.2598323006089, 5014.641111111111
582.2598323006089, 4876.289444444445
582.2598323006089, 5012.2138888888885
581.8373278493451, 3485.491111111111
582.2598323006089, 4131.1322222222225
582.6822817167598, 4631.14
581.4147683834901, 4786.482222222222
582.2598323006089, 3983.0716666666667
581.4147683834901, 3883.5555555555557
581.4147683834901, 3318.012777777778
581.8373278493451, 4592.304444444444
581.4147683834901, 3337.4305555555557
580.9921539235664, 3415.1016666666665
581.8373278493451, 3216.0694444444443
581.8373278493451, 4633.567222222222
580.5694844900961, 3521.8994444444443
581.4147683834901, 3575.298333333333
582.2598323006089, 4313.1738888888885
580.5694844900961, 3691.805
581.8373278493451, 3835.011111111111
581.8373278493451, 4218.512222222223
581.8373278493451, 4944.251666666667
580.5694844900961, 3922.391111111111
580.5694844900961, 4194.24
581.4147683834901, 3703.9411111111112
583.1046760772754, 4869.007777777778
581.8373278493451, 4123.850555555556
581.8373278493451, 4723.374444444445
581.4147683834901, 4446.671111111111
581.4147683834901, 4786.482222222222
580.9921539235664, 4417.544444444445
582.2598323006089, 3347.1394444444445
582.2598323006089, 4534.051111111111
581.8373278493451, 3504.9088888888887
581.8373278493451, 3747.6311111111113
580.5694844900961, 3922.391111111111
581.8373278493451, 4616.576666666667
581.8373278493451, 4619.0038888888885
581.8373278493451, 4604.440555555556
583.1046760772754, 4716.092777777778
581.4147683834901, 4643.276111111111
580.9921539235664, 4786.482222222222
581.8373278493451, 4815.608888888889
581.4147683834901, 4752.501111111111
581.8373278493451, 4577.741111111111
582.2598323006089, 4497.642777777778
580.9921539235664, 4602.013333333333
581.8373278493451, 4674.83
581.4147683834901, 4839.881111111111
581.8373278493451, 4735.510555555556
581.4147683834901, 4769.491666666667
581.4147683834901, 4616.576666666667
582.6822817167598, 4716.092777777778
581.8373278493451, 4635.9944444444445
581.4147683834901, 4691.820555555556
580.9921539235664, 4776.7733333333335
581.4147683834901, 4686.966111111111
580.9921539235664, 4890.852777777778
580.9921539235664, 3344.7122222222224
581.8373278493451, 4257.347777777778
582.2598323006089, 4835.026666666667
582.2598323006089, 4919.979444444444
