Key	Value
 BitsPerPixel	16
 DimensionOrder	XYCZT
 IsInterleaved	false
 IsRGB	false
 LittleEndian	true
 PixelType	uint16
Field 5 i_Image1 Image_Depth	16.0
Field 5 i_Image1 Image_Exposure1	0.003021
Field 5 i_Image1 Image_Height	2048.0
Field 5 i_Image1 Image_Width	2048.0
Field 5 i_Image1 Image_eCoeff1	0.48
Field 5 i_Image1 Image_eOffset1	100.0
Field 50 Binning	1.0
Field 50 Capture_Depth	16.0
Field 50 Image_Depth	16.0
Field 50 Image_Height	2048.0
Field 50 Image_Width	2048.0
Field 50 Time_From_Last	0.03332599999999997
Field 50 Time_From_Start	1.63296
Field 50 i_Image1 Binning	1.0
Field 50 i_Image1 Capture_Depth	16.0
Field 50 i_Image1 Image_Depth	16.0
Field 50 i_Image1 Image_Exposure1	0.003021
Field 50 i_Image1 Image_Height	2048.0
Field 50 i_Image1 Image_Width	2048.0
Field 50 i_Image1 Image_eCoeff1	0.48
Field 50 i_Image1 Image_eOffset1	100.0
Field 51 Binning	1.0
Field 51 Capture_Depth	16.0
Field 51 Image_Depth	16.0
Field 51 Image_Height	2048.0
Field 51 Image_Width	2048.0
Field 51 Time_From_Last	0.03332599999999997
Field 51 Time_From_Start	1.666286
Field 51 i_Image1 Binning	1.0
Field 51 i_Image1 Capture_Depth	16.0
Field 51 i_Image1 Image_Depth	16.0
Field 51 i_Image1 Image_Exposure1	0.003021
Field 51 i_Image1 Image_Height	2048.0
Field 51 i_Image1 Image_Width	2048.0
Field 51 i_Image1 Image_eCoeff1	0.48
Field 51 i_Image1 Image_eOffset1	100.0
Field 52 Binning	1.0
Field 52 Capture_Depth	16.0
Field 52 Image_Depth	16.0
Field 52 Image_Height	2048.0
Field 52 Image_Width	2048.0
Field 52 Time_From_Last	0.03332500000000005
Field 52 Time_From_Start	1.699611
Field 52 i_Image1 Binning	1.0
Field 52 i_Image1 Capture_Depth	16.0
Field 52 i_Image1 Image_Depth	16.0
Field 52 i_Image1 Image_Exposure1	0.003021
Field 52 i_Image1 Image_Height	2048.0
Field 52 i_Image1 Image_Width	2048.0
Field 52 i_Image1 Image_eCoeff1	0.48
Field 52 i_Image1 Image_eOffset1	100.0
Field 53 Binning	1.0
Field 53 Capture_Depth	16.0
Field 53 Image_Depth	16.0
Field 53 Image_Height	2048.0
Field 53 Image_Width	2048.0
Field 53 Time_From_Last	0.03332599999999997
Field 53 Time_From_Start	1.732937
Field 53 i_Image1 Binning	1.0
Field 53 i_Image1 Capture_Depth	16.0
Field 53 i_Image1 Image_Depth	16.0
Field 53 i_Image1 Image_Exposure1	0.003021
Field 53 i_Image1 Image_Height	2048.0
Field 53 i_Image1 Image_Width	2048.0
Field 53 i_Image1 Image_eCoeff1	0.48
Field 53 i_Image1 Image_eOffset1	100.0
Field 54 Binning	1.0
Field 54 Capture_Depth	16.0
Field 54 Image_Depth	16.0
Field 54 Image_Height	2048.0
Field 54 Image_Width	2048.0
Field 54 Time_From_Last	0.03332599999999997
Field 54 Time_From_Start	1.766263
Field 54 i_Image1 Binning	1.0
Field 54 i_Image1 Capture_Depth	16.0
Field 54 i_Image1 Image_Depth	16.0
Field 54 i_Image1 Image_Exposure1	0.003021
Field 54 i_Image1 Image_Height	2048.0
Field 54 i_Image1 Image_Width	2048.0
Field 54 i_Image1 Image_eCoeff1	0.48
Field 54 i_Image1 Image_eOffset1	100.0
Field 55 Binning	1.0
Field 55 Capture_Depth	16.0
Field 55 Image_Depth	16.0
Field 55 Image_Height	2048.0
Field 55 Image_Width	2048.0
Field 55 Time_From_Last	0.03332500000000005
Field 55 Time_From_Start	1.799588
Field 55 i_Image1 Binning	1.0
Field 55 i_Image1 Capture_Depth	16.0
Field 55 i_Image1 Image_Depth	16.0
Field 55 i_Image1 Image_Exposure1	0.003021
Field 55 i_Image1 Image_Height	2048.0
Field 55 i_Image1 Image_Width	2048.0
Field 55 i_Image1 Image_eCoeff1	0.48
Field 55 i_Image1 Image_eOffset1	100.0
Field 56 Binning	1.0
Field 56 Capture_Depth	16.0
Field 56 Image_Depth	16.0
Field 56 Image_Height	2048.0
Field 56 Image_Width	2048.0
Field 56 Time_From_Last	0.03332599999999997
Field 56 Time_From_Start	1.832914
Field 56 i_Image1 Binning	1.0
Field 56 i_Image1 Capture_Depth	16.0
Field 56 i_Image1 Image_Depth	16.0
Field 56 i_Image1 Image_Exposure1	0.003021
Field 56 i_Image1 Image_Height	2048.0
Field 56 i_Image1 Image_Width	2048.0
Field 56 i_Image1 Image_eCoeff1	0.48
Field 56 i_Image1 Image_eOffset1	100.0
Field 57 Binning	1.0
Field 57 Capture_Depth	16.0
Field 57 Image_Depth	16.0
Field 57 Image_Height	2048.0
Field 57 Image_Width	2048.0
Field 57 Time_From_Last	0.03332599999999997
Field 57 Time_From_Start	1.86624
Field 57 i_Image1 Binning	1.0
Field 57 i_Image1 Capture_Depth	16.0
Field 57 i_Image1 Image_Depth	16.0
Field 57 i_Image1 Image_Exposure1	0.003021
Field 57 i_Image1 Image_Height	2048.0
Field 57 i_Image1 Image_Width	2048.0
Field 57 i_Image1 Image_eCoeff1	0.48
Field 57 i_Image1 Image_eOffset1	100.0
Field 58 Binning	1.0
Field 58 Capture_Depth	16.0
Field 58 Image_Depth	16.0
Field 58 Image_Height	2048.0
Field 58 Image_Width	2048.0
Field 58 Time_From_Last	0.03332600000000019
Field 58 Time_From_Start	1.899566
Field 58 i_Image1 Binning	1.0
Field 58 i_Image1 Capture_Depth	16.0
Field 58 i_Image1 Image_Depth	16.0
Field 58 i_Image1 Image_Exposure1	0.003021
Field 58 i_Image1 Image_Height	2048.0
Field 58 i_Image1 Image_Width	2048.0
Field 58 i_Image1 Image_eCoeff1	0.48
Field 58 i_Image1 Image_eOffset1	100.0
Field 59 Binning	1.0
Field 59 Capture_Depth	16.0
Field 59 Image_Depth	16.0
Field 59 Image_Height	2048.0
Field 59 Image_Width	2048.0
Field 59 Time_From_Last	0.03332499999999983
Field 59 Time_From_Start	1.932891
Field 59 i_Image1 Binning	1.0
Field 59 i_Image1 Capture_Depth	16.0
Field 59 i_Image1 Image_Depth	16.0
Field 59 i_Image1 Image_Exposure1	0.003021
Field 59 i_Image1 Image_Height	2048.0
Field 59 i_Image1 Image_Width	2048.0
Field 59 i_Image1 Image_eCoeff1	0.48
Field 59 i_Image1 Image_eOffset1	100.0
Field 6 Binning	1.0
Field 6 Capture_Depth	16.0
Field 6 Image_Depth	16.0
Field 6 Image_Height	2048.0
Field 6 Image_Width	2048.0
Field 6 Time_From_Last	0.033324999999999994
Field 6 Time_From_Start	0.166628
Field 6 i_Image1 Binning	1.0
Field 6 i_Image1 Capture_Depth	16.0
Field 6 i_Image1 Image_Depth	16.0
Field 6 i_Image1 Image_Exposure1	0.003021
Field 6 i_Image1 Image_Height	2048.0
Field 6 i_Image1 Image_Width	2048.0
Field 6 i_Image1 Image_eCoeff1	0.48
Field 6 i_Image1 Image_eOffset1	100.0
Field 60 Binning	1.0
Field 60 Capture_Depth	16.0
Field 60 Image_Depth	16.0
Field 60 Image_Height	2048.0
Field 60 Image_Width	2048.0
Field 60 Time_From_Last	0.03332600000000019
Field 60 Time_From_Start	1.966217
Field 60 i_Image1 Binning	1.0
Field 60 i_Image1 Capture_Depth	16.0
Field 60 i_Image1 Image_Depth	16.0
Field 60 i_Image1 Image_Exposure1	0.003021
Field 60 i_Image1 Image_Height	2048.0
Field 60 i_Image1 Image_Width	2048.0
Field 60 i_Image1 Image_eCoeff1	0.48
Field 60 i_Image1 Image_eOffset1	100.0
Field 7 Binning	1.0
Field 7 Capture_Depth	16.0
Field 7 Image_Depth	16.0
Field 7 Image_Height	2048.0
Field 7 Image_Width	2048.0
Field 7 Time_From_Last	0.033325999999999995
Field 7 Time_From_Start	0.199954
Field 7 i_Image1 Binning	1.0
Field 7 i_Image1 Capture_Depth	16.0
Field 7 i_Image1 Image_Depth	16.0
Field 7 i_Image1 Image_Exposure1	0.003021
Field 7 i_Image1 Image_Height	2048.0
Field 7 i_Image1 Image_Width	2048.0
Field 7 i_Image1 Image_eCoeff1	0.48
Field 7 i_Image1 Image_eOffset1	100.0
Field 8 Binning	1.0
Field 8 Capture_Depth	16.0
Field 8 Image_Depth	16.0
Field 8 Image_Height	2048.0
Field 8 Image_Width	2048.0
Field 8 Time_From_Last	0.033325999999999995
Field 8 Time_From_Start	0.23328
Field 8 i_Image1 Binning	1.0
Field 8 i_Image1 Capture_Depth	16.0
Field 8 i_Image1 Image_Depth	16.0
Field 8 i_Image1 Image_Exposure1	0.003021
Field 8 i_Image1 Image_Height	2048.0
Field 8 i_Image1 Image_Width	2048.0
Field 8 i_Image1 Image_eCoeff1	0.48
Field 8 i_Image1 Image_eOffset1	100.0
Field 9 Binning	1.0
Field 9 Capture_Depth	16.0
Field 9 Image_Depth	16.0
Field 9 Image_Height	2048.0
Field 9 Image_Width	2048.0
Field 9 Time_From_Last	0.03332600000000002
Field 9 Time_From_Start	0.266606
Field 9 i_Image1 Binning	1.0
Field 9 i_Image1 Capture_Depth	16.0
Field 9 i_Image1 Image_Depth	16.0
Field 9 i_Image1 Image_Exposure1	0.003021
Field 9 i_Image1 Image_Height	2048.0
Field 9 i_Image1 Image_Width	2048.0
Field 9 i_Image1 Image_eCoeff1	0.48
Field 9 i_Image1 Image_eOffset1	100.0
File Info GroupSelectedFields	2.1219957915E-314
Location	E:/KENZA Folder/PROJECT2_ClRosea/sorting/droplet_HS/20210210-dropletspeed-dgw003-dgo004-sp00-00081.cxd
factor	1.623300
scale_len	100.000000
symbol	?m
title	Red(4X)
units	Microns
