Key	Value
 BitsPerPixel	16
 DimensionOrder	XYCZT
 IsInterleaved	false
 IsRGB	false
 LittleEndian	true
 PixelType	uint16
Field 18 i_Image1 Image_Width	2048.0
Field 18 i_Image1 Image_eCoeff1	0.48
Field 18 i_Image1 Image_eOffset1	100.0
Field 19 Binning	1.0
Field 19 Capture_Depth	16.0
Field 19 Image_Depth	16.0
Field 19 Image_Height	2048.0
Field 19 Image_Width	2048.0
Field 19 Time_From_Last	0.03332599999999997
Field 19 Time_From_Start	0.599863
Field 19 i_Image1 Binning	1.0
Field 19 i_Image1 Capture_Depth	16.0
Field 19 i_Image1 Image_Depth	16.0
Field 19 i_Image1 Image_Exposure1	0.003021
Field 19 i_Image1 Image_Height	2048.0
Field 19 i_Image1 Image_Width	2048.0
Field 19 i_Image1 Image_eCoeff1	0.48
Field 19 i_Image1 Image_eOffset1	100.0
Field 2 Binning	1.0
Field 2 Capture_Depth	16.0
Field 2 Image_Depth	16.0
Field 2 Image_Height	2048.0
Field 2 Image_Width	2048.0
Field 2 Time_From_Last	0.033326
Field 2 Time_From_Start	0.033326
Field 2 i_Image1 Binning	1.0
Field 2 i_Image1 Capture_Depth	16.0
Field 2 i_Image1 Image_Depth	16.0
Field 2 i_Image1 Image_Exposure1	0.003021
Field 2 i_Image1 Image_Height	2048.0
Field 2 i_Image1 Image_Width	2048.0
Field 2 i_Image1 Image_eCoeff1	0.48
Field 2 i_Image1 Image_eOffset1	100.0
Field 20 Binning	1.0
Field 20 Capture_Depth	16.0
Field 20 Image_Depth	16.0
Field 20 Image_Height	2048.0
Field 20 Image_Width	2048.0
Field 20 Time_From_Last	0.03332500000000005
Field 20 Time_From_Start	0.6331880000000001
Field 20 i_Image1 Binning	1.0
Field 20 i_Image1 Capture_Depth	16.0
Field 20 i_Image1 Image_Depth	16.0
Field 20 i_Image1 Image_Exposure1	0.003021
Field 20 i_Image1 Image_Height	2048.0
Field 20 i_Image1 Image_Width	2048.0
Field 20 i_Image1 Image_eCoeff1	0.48
Field 20 i_Image1 Image_eOffset1	100.0
Field 21 Binning	1.0
Field 21 Capture_Depth	16.0
Field 21 Image_Depth	16.0
Field 21 Image_Height	2048.0
Field 21 Image_Width	2048.0
Field 21 Time_From_Last	0.03332599999999997
Field 21 Time_From_Start	0.666514
Field 21 i_Image1 Binning	1.0
Field 21 i_Image1 Capture_Depth	16.0
Field 21 i_Image1 Image_Depth	16.0
Field 21 i_Image1 Image_Exposure1	0.003021
Field 21 i_Image1 Image_Height	2048.0
Field 21 i_Image1 Image_Width	2048.0
Field 21 i_Image1 Image_eCoeff1	0.48
Field 21 i_Image1 Image_eOffset1	100.0
Field 22 Binning	1.0
Field 22 Capture_Depth	16.0
Field 22 Image_Depth	16.0
Field 22 Image_Height	2048.0
Field 22 Image_Width	2048.0
Field 22 Time_From_Last	0.03332599999999997
Field 22 Time_From_Start	0.69984
Field 22 i_Image1 Binning	1.0
Field 22 i_Image1 Capture_Depth	16.0
Field 22 i_Image1 Image_Depth	16.0
Field 22 i_Image1 Image_Exposure1	0.003021
Field 22 i_Image1 Image_Height	2048.0
Field 22 i_Image1 Image_Width	2048.0
Field 22 i_Image1 Image_eCoeff1	0.48
Field 22 i_Image1 Image_eOffset1	100.0
Field 23 Binning	1.0
Field 23 Capture_Depth	16.0
Field 23 Image_Depth	16.0
Field 23 Image_Height	2048.0
Field 23 Image_Width	2048.0
Field 23 Time_From_Last	0.03332599999999997
Field 23 Time_From_Start	0.733166
Field 23 i_Image1 Binning	1.0
Field 23 i_Image1 Capture_Depth	16.0
Field 23 i_Image1 Image_Depth	16.0
Field 23 i_Image1 Image_Exposure1	0.003021
Field 23 i_Image1 Image_Height	2048.0
Field 23 i_Image1 Image_Width	2048.0
Field 23 i_Image1 Image_eCoeff1	0.48
Field 23 i_Image1 Image_eOffset1	100.0
Field 24 Binning	1.0
Field 24 Capture_Depth	16.0
Field 24 Image_Depth	16.0
Field 24 Image_Height	2048.0
Field 24 Image_Width	2048.0
Field 24 Time_From_Last	0.03332500000000005
Field 24 Time_From_Start	0.766491
Field 24 i_Image1 Binning	1.0
Field 24 i_Image1 Capture_Depth	16.0
Field 24 i_Image1 Image_Depth	16.0
Field 24 i_Image1 Image_Exposure1	0.003021
Field 24 i_Image1 Image_Height	2048.0
Field 24 i_Image1 Image_Width	2048.0
Field 24 i_Image1 Image_eCoeff1	0.48
Field 24 i_Image1 Image_eOffset1	100.0
Field 25 Binning	1.0
Field 25 Capture_Depth	16.0
Field 25 Image_Depth	16.0
Field 25 Image_Height	2048.0
Field 25 Image_Width	2048.0
Field 25 Time_From_Last	0.03332599999999997
Field 25 Time_From_Start	0.799817
Field 25 i_Image1 Binning	1.0
Field 25 i_Image1 Capture_Depth	16.0
Field 25 i_Image1 Image_Depth	16.0
Field 25 i_Image1 Image_Exposure1	0.003021
Field 25 i_Image1 Image_Height	2048.0
Field 25 i_Image1 Image_Width	2048.0
Field 25 i_Image1 Image_eCoeff1	0.48
Field 25 i_Image1 Image_eOffset1	100.0
Field 26 Binning	1.0
Field 26 Capture_Depth	16.0
Field 26 Image_Depth	16.0
Field 26 Image_Height	2048.0
Field 26 Image_Width	2048.0
Field 26 Time_From_Last	0.03332599999999997
Field 26 Time_From_Start	0.833143
Field 26 i_Image1 Binning	1.0
Field 26 i_Image1 Capture_Depth	16.0
Field 26 i_Image1 Image_Depth	16.0
Field 26 i_Image1 Image_Exposure1	0.003021
Field 26 i_Image1 Image_Height	2048.0
Field 26 i_Image1 Image_Width	2048.0
Field 26 i_Image1 Image_eCoeff1	0.48
Field 26 i_Image1 Image_eOffset1	100.0
Field 27 Binning	1.0
Field 27 Capture_Depth	16.0
Field 27 Image_Depth	16.0
Field 27 Image_Height	2048.0
Field 27 Image_Width	2048.0
Field 27 Time_From_Last	0.03332500000000005
Field 27 Time_From_Start	0.866468
Field 27 i_Image1 Binning	1.0
Field 27 i_Image1 Capture_Depth	16.0
Field 27 i_Image1 Image_Depth	16.0
Field 27 i_Image1 Image_Exposure1	0.003021
Field 27 i_Image1 Image_Height	2048.0
Field 27 i_Image1 Image_Width	2048.0
Field 27 i_Image1 Image_eCoeff1	0.48
Field 27 i_Image1 Image_eOffset1	100.0
Field 28 Binning	1.0
Field 28 Capture_Depth	16.0
Field 28 Image_Depth	16.0
Field 28 Image_Height	2048.0
Field 28 Image_Width	2048.0
Field 28 Time_From_Last	0.03332599999999997
Field 28 Time_From_Start	0.899794
Field 28 i_Image1 Binning	1.0
Field 28 i_Image1 Capture_Depth	16.0
Field 28 i_Image1 Image_Depth	16.0
Field 28 i_Image1 Image_Exposure1	0.003021
Field 28 i_Image1 Image_Height	2048.0
Field 28 i_Image1 Image_Width	2048.0
