
# Time of snapshot: 2021-05-04T20:50:24Eastern Standard Time
# Number of frames accumulated: 0
# Scan time per exposure [us]: 100000
 Wavelength [nm], Intensity [RFU]
535.8873395204353, 60398.997777777775
535.8873395204353, 60352.88055555555
516.5582696431964, 29614.53833333333
529.4561034740402, 58182.94388888889
534.602040462411, 60129.57611111111
536.3156669707347, 60442.68777777778
524.732353670796, 55350.375555555554
547.8604754204986, 61976.69222222222
538.8845217610424, 60954.83166666667
524.3026078722943, 54466.86666666667
534.602040462411, 59865.00888888889
513.1109394574953, 11687.075
551.2737054068582, 62267.95888888889
530.7432977263796, 58583.43555555556
537.1721633946379, 60680.555555555555
542.7342289858989, 61619.890555555554
535.8873395204353, 60398.997777777775
534.602040462411, 60129.57611111111
521.7230366733485, 51173.12611111111
520.8627624203501, 45585.66055555556
535.4589592719335, 60199.96555555556
528.168436808365, 57729.05333333333
546.5796329596982, 61896.59388888889
538.4565115309218, 60852.888333333336
534.602040462411, 60129.57611111111
532.8875701679102, 59403.83666666667
529.4561034740402, 58182.94388888889
523.4429595634975, 54435.31277777778
520.0022798476382, 11043.861111111111
528.168436808365, 57729.05333333333
527.3097301863561, 57165.93777777778
516.5582696431964, 9031.693888888887
526.8802982834507, 56935.35166666667
518.2806903997824, 40486.066666666666
518.2806903997824, 37913.21111111111
524.3026078722943, 54488.71166666667
521.7230366733485, 7878.763333333334
525.1620472046701, 55578.53444444444
525.5916884533947, 55818.82944444444
524.732353670796, 55425.61944444445
523.4429595634975, 54435.31277777778
520.0022798476382, 7143.3150000000005
525.5916884533947, 56158.640555555554
525.5916884533947, 56158.640555555554
526.4508140133071, 56306.701111111106
525.1620472046701, 55578.53444444444
516.9889526957089, 34850.056666666664
519.1415891193901, 40915.685
525.1620472046701, 55578.53444444444
525.5916884533947, 56119.805
525.5916884533947, 55777.566666666666
516.5582696431964, 28337.819444444445
525.5916884533947, 56122.23222222222
525.1620472046701, 55539.69888888889
525.1620472046701, 55578.53444444444
517.4195838529922, 30752.905555555557
523.4429595634975, 54435.31277777778
518.2806903997824, 10917.645555555555
525.5916884533947, 56158.640555555554
527.3097301863561, 57165.93777777778
525.5916884533947, 55602.806666666664
518.7111657482452, 6439.4205555555545
518.2806903997824, 14116.724444444444
524.732353670796, 55525.13555555556
526.0212773964479, 56178.058333333334
523.4429595634975, 53894.04222222222
520.8627624203501, 9276.843333333334
516.9889526957089, 5987.957222222223
524.732353670796, 55469.30944444444
526.8802982834507, 56212.03944444445
525.5916884533947, 55932.90888888889
526.8802982834507, 56454.76166666667
516.1275347159767, 24556.207222222223
514.8350188912955, 5342.316111111111
527.7391097015015, 57292.153333333335
526.8802982834507, 56935.35166666667
525.5916884533947, 56158.640555555554
526.8802982834507, 56935.35166666667
521.7230366733485, 52913.444444444445
525.5916884533947, 56158.640555555554
524.732353670796, 55525.13555555556
513.1109394574953, 14497.798333333336
526.4508140133071, 56362.52722222222
526.8802982834507, 56935.35166666667
518.7111657482452, 5386.006111111112
521.7230366733485, 52076.052777777775
518.2806903997824, 32476.23333333333
521.7230366733485, 47709.479999999996
526.8802982834507, 56872.243888888894
525.5916884533947, 56158.640555555554
526.4508140133071, 56452.334444444445
513.1109394574953, 7740.411666666667
526.4508140133071, 56168.349444444444
526.4508140133071, 56530.00555555555
526.0212773964479, 56178.058333333334
526.8802982834507, 56838.26277777778
527.3097301863561, 57165.93777777778
527.3097301863561, 57165.93777777778
526.8802982834507, 56568.84111111111
521.7230366733485, 53238.69222222222
525.5916884533947, 56158.640555555554
526.4508140133071, 56471.75222222222
526.4508140133071, 56255.72944444444
521.7230366733485, 48583.28
516.9889526957089, 23286.769999999997
526.8802982834507, 56525.15111111111
528.168436808365, 57656.236666666664
529.8852207425534, 58209.64333333333
529.0269337151562, 57862.55055555556
527.7391097015015, 57292.153333333335
527.3097301863561, 57165.93777777778
526.8802982834507, 56396.50833333334
526.8802982834507, 56935.35166666667
525.5916884533947, 56158.640555555554
527.3097301863561, 57165.93777777778
513.1109394574953, 10114.235000000004
524.732353670796, 55525.13555555556
514.8350188912955, 8349.644444444442
525.5916884533947, 56139.22277777777
528.168436808365, 57590.70166666666
528.168436808365, 57729.05333333333
526.8802982834507, 56935.35166666667
526.4508140133071, 56692.62944444444
526.8802982834507, 56282.42888888889
525.5916884533947, 56158.640555555554
524.732353670796, 55379.502222222225
521.7230366733485, 5810.769999999999
526.8802982834507, 56845.544444444444
527.3097301863561, 57134.383888888886
527.7391097015015, 57185.35555555556
518.2806903997824, 20716.341666666667
520.0022798476382, 45908.48111111111
518.2806903997824, 40398.68666666667
518.7111657482452, 43947.28555555555
518.2806903997824, 35595.21388888889
520.4325471636973, 45940.034999999996
521.7230366733485, 49580.86833333333
525.5916884533947, 55646.496666666666
525.5916884533947, 56158.640555555554
526.8802982834507, 56347.963888888895
525.5916884533947, 56158.640555555554
514.8350188912955, 21696.939444444444
521.7230366733485, 50658.555
526.8802982834507, 56850.39888888889
527.3097301863561, 57165.93777777778
528.168436808365, 57445.06833333333
527.7391097015015, 57197.49166666667
526.8802982834507, 56784.86388888889
526.0212773964479, 56178.058333333334
518.2806903997824, 34983.55388888889
527.3097301863561, 57127.102222222224
528.168436808365, 57568.856666666674
528.168436808365, 57593.128888888896
528.168436808365, 57653.80944444444
528.168436808365, 57561.575
525.5916884533947, 56158.640555555554
521.7230366733485, 6929.719444444445
518.2806903997824, 24291.64
516.5582696431964, 16378.895555555559
526.8802982834507, 56935.35166666667
526.8802982834507, 56738.746666666666
527.3097301863561, 57165.93777777778
527.3097301863561, 57165.93777777778
527.3097301863561, 57165.93777777778
526.8802982834507, 56935.35166666667
518.2806903997824, 13585.162777777776
523.0130570942465, 53884.333333333336
521.7230366733485, 49590.57722222222
518.2806903997824, 26056.230555555558
518.2806903997824, 38070.98055555556
518.2806903997824, 41347.73055555556
518.2806903997824, 35478.70722222222
526.4508140133071, 56692.62944444444
527.3097301863561, 57085.83944444444
527.3097301863561, 57165.93777777778
526.8802982834507, 56935.35166666667
527.3097301863561, 56974.18722222222
527.3097301863561, 57110.111666666664
526.8802982834507, 56935.35166666667
526.8802982834507, 56935.35166666667
526.8802982834507, 56935.35166666667
527.3097301863561, 57165.93777777778
519.1415891193901, 32769.92722222222
518.7111657482452, 37959.32833333333
515.2659093195042, 11774.455000000002
524.3026078722943, 54828.522777777776
526.8802982834507, 56641.65777777778
527.3097301863561, 57165.93777777778
528.168436808365, 57406.23277777778
527.3097301863561, 57165.93777777778
526.8802982834507, 56821.27222222222
518.2806903997824, 9553.546666666665
516.9889526957089, 20847.411666666667
526.8802982834507, 56782.43666666667
526.8802982834507, 56935.35166666667
526.8802982834507, 56675.63888888889
526.8802982834507, 56935.35166666667
516.9889526957089, 25454.279444444444
526.4508140133071, 56248.44777777778
526.8802982834507, 56935.35166666667
526.8802982834507, 56721.75611111111
526.8802982834507, 56935.35166666667
515.2659093195042, 19973.611666666664
521.7230366733485, 52889.17222222222
513.1109394574953, 5017.068333333336
526.8802982834507, 56753.310000000005
526.8802982834507, 56935.35166666667
526.0212773964479, 56178.058333333334
526.4508140133071, 56442.625555555554
518.2806903997824, 19502.730555555558
526.8802982834507, 56872.243888888894
525.5916884533947, 56158.640555555554
529.0269337151562, 57981.484444444446
529.0269337151562, 57981.484444444446
529.4561034740402, 58059.15555555556
529.4561034740402, 58047.01944444445
529.0269337151562, 57947.503333333334
518.2806903997824, 38590.40611111111
528.168436808365, 57729.05333333333
513.1109394574953, 14881.299444444445
524.732353670796, 55403.77444444445
529.4561034740402, 58008.18388888889
516.5582696431964, 35587.932222222225
529.4561034740402, 58151.39
521.7230366733485, 52644.022777777776
517.8501630945242, 28007.71722222222
529.4561034740402, 58182.94388888889
518.7111657482452, 29740.75388888889
529.4561034740402, 58182.94388888889
516.5582696431964, 27197.025
521.7230366733485, 53238.69222222222
529.4561034740402, 58059.15555555556
527.3097301863561, 56981.468888888885
529.4561034740402, 58182.94388888889
518.2806903997824, 40490.92111111111
518.7111657482452, 46054.11444444444
529.4561034740402, 58182.94388888889
530.314285500174, 58374.694444444445
529.8852207425534, 58248.47888888889
513.1109394574953, 12694.372222222224
526.0212773964479, 56178.058333333334
529.4561034740402, 58015.46555555556
520.8627624203501, 47896.37611111111
519.1415891193901, 36976.30333333333
529.0269337151562, 57869.83222222223
513.1109394574953, 11708.920000000002
529.0269337151562, 57981.484444444446
518.2806903997824, 40546.74722222222
521.7230366733485, 44954.582777777774
529.4561034740402, 58047.01944444445
524.732353670796, 55204.74222222222
529.0269337151562, 57981.484444444446
528.168436808365, 57374.678888888884
528.168436808365, 57610.11944444444
529.0269337151562, 57981.484444444446
530.314285500174, 58508.191666666666
530.314285500174, 58508.191666666666
526.4508140133071, 56343.109444444446
524.3026078722943, 54532.401666666665
527.7391097015015, 57219.33666666667
515.2659093195042, 8245.273888888889
526.4508140133071, 56665.93
529.0269337151562, 57981.484444444446
515.6967479345718, 26760.125
521.7230366733485, 52923.15333333333
529.4561034740402, 58102.845555555556
519.1415891193901, 18665.33888888889
528.168436808365, 57729.05333333333
519.5719604926952, 42646.294444444444
528.168436808365, 57729.05333333333
519.1415891193901, 42845.32666666666
521.7230366733485, 44051.65611111111
529.8852207425534, 58294.59611111111
516.5582696431964, 29959.203888888886
521.7230366733485, 52699.84888888889
530.314285500174, 58335.858888888884
518.2806903997824, 37864.666666666664
521.7230366733485, 49037.17055555555
529.4561034740402, 58182.94388888889
518.7111657482452, 34913.16444444444
528.168436808365, 57729.05333333333
526.8802982834507, 56935.35166666667
521.7230366733485, 50398.84222222222
517.4195838529922, 25471.27
527.3097301863561, 57165.93777777778
527.3097301863561, 56949.915
517.8501630945242, 25087.768888888888
528.168436808365, 57704.78111111111
524.3026078722943, 55192.60611111111
518.2806903997824, 13691.960555555554
527.7391097015015, 57280.017222222225
527.3097301863561, 56945.06055555555
526.4508140133071, 56549.42333333333
517.4195838529922, 29090.258333333335
528.168436808365, 57619.82833333334
528.168436808365, 57661.091111111105
516.5582696431964, 21988.20611111111
524.3026078722943, 54476.57555555556
529.4561034740402, 58182.94388888889
529.4561034740402, 58110.127222222225
521.7230366733485, 49949.80611111111
518.2806903997824, 33937.42111111111
529.0269337151562, 57981.484444444446
528.168436808365, 57729.05333333333
527.7391097015015, 57292.153333333335
527.7391097015015, 57292.153333333335
516.1275347159767, 17286.67666666667
524.3026078722943, 55192.60611111111
528.168436808365, 57729.05333333333
529.0269337151562, 57981.484444444446
513.1109394574953, 7167.587222222224
527.3097301863561, 57165.93777777778
529.0269337151562, 57981.484444444446
527.3097301863561, 57165.93777777778
526.4508140133071, 56661.07555555555
520.8627624203501, 46682.765
527.7391097015015, 57292.153333333335
527.3097301863561, 57003.313888888886
518.2806903997824, 39643.820555555554
519.1415891193901, 43347.76166666667
528.168436808365, 57573.711111111115
528.168436808365, 57719.34444444445
528.168436808365, 57445.06833333333
514.4040766704684, 10373.947777777776
526.4508140133071, 56182.912777777776
527.7391097015015, 57292.153333333335
527.7391097015015, 57292.153333333335
527.3097301863561, 56952.34222222222
517.4195838529922, 31109.707222222223
521.7230366733485, 46000.71555555555
527.3097301863561, 57165.93777777778
528.168436808365, 57729.05333333333
528.168436808365, 57729.05333333333
529.4561034740402, 58047.01944444445
527.7391097015015, 57187.78277777778
529.0269337151562, 57981.484444444446
528.168436808365, 57729.05333333333
525.5916884533947, 56158.640555555554
518.2806903997824, 10410.356111111112
529.4561034740402, 58071.29166666667
529.0269337151562, 57957.212222222224
529.4561034740402, 58182.94388888889
529.4561034740402, 58182.94388888889
528.168436808365, 57729.05333333333
524.3026078722943, 53733.845555555556
519.1415891193901, 13403.121111111112
528.168436808365, 57294.580555555556
