"FDGlu 4 days, 27C mostly burst"
# Time of snapshot: 2021-08-10T15:52:04Eastern Standard Time
# Number of frames accumulated: 0
# Scan time per exposure [us]: 50000
" Wavelength [nm], Intensity [RFU]"
"475.84528270819413, 1009.7244444444441"
"513.1109394574953, 507.2894444444446"
"477.5868611204718, 1449.0516666666663"
"520.8627624203501, 783.992777777778"
"482.3720705170987, 1337.3994444444452"
"520.4325471636973, 524.2799999999997"
"477.5868611204718, 1784.0083333333332"
"520.0022798476382, 616.5144444444445"
"475.84528270819413, 970.8888888888887"
"514.8350188912955, 946.6166666666668"
"516.1275347159767, 686.903888888889"
"483.6760734518483, 1024.2877777777776"
"521.2929255970745, 553.4066666666668"
"511.81733684975023, 742.7299999999996"
"483.6760734518483, 1276.7188888888886"
"519.5719604926952, 1495.168888888889"
"519.5719604926952, 2072.8477777777775"
"484.110640494075, 1206.3294444444437"
"512.2485893953253, 747.5844444444442"
"519.5719604926952, 725.7394444444444"
"513.1109394574953, 939.335"
"475.84528270819413, 1825.2711111111112"
"513.5420369330461, 1063.1233333333334"
"476.28075228101125, 1512.1594444444436"
"516.1275347159767, 2118.9649999999997"
"516.1275347159767, 2667.5172222222222"
"516.1275347159767, 3325.2944444444443"
"517.4195838529922, 3308.3038888888887"
"475.4097631897488, 5320.471111111112"
"516.1275347159767, 3203.933333333334"
"514.8350188912955, 4526.769444444444"
"515.6967479345718, 6648.161666666667"
"516.1275347159767, 6723.405555555555"
"516.1275347159767, 6614.180555555555"
"516.1275347159767, 5053.476666666667"
"515.6967479345718, 5264.645"
"516.5582696431964, 6240.388333333334"
"516.1275347159767, 2980.628888888889"
"520.4325471636973, 788.8472222222222"
"516.1275347159767, 805.8377777777778"
"520.4325471636973, 987.8794444444443"
"511.81733684975023, 1531.5772222222222"
"477.5868611204718, 2432.076666666666"
"513.1109394574953, 832.5372222222222"
"514.8350188912955, 851.9549999999999"
"520.4325471636973, 851.9549999999999"
"516.1275347159767, 1123.803888888889"
"513.1109394574953, 1247.592222222222"
"516.1275347159767, 708.7488888888888"
"512.2485893953253, 2114.110555555556"
"514.8350188912955, 2361.6872222222223"
"517.8501630945242, 2371.3961111111107"
"519.5719604926952, 1500.023333333333"
"520.4325471636973, 1885.9516666666664"
"470.6157579447109, 1419.925000000001"
"516.9889526957089, 827.6827777777776"
"522.5831024424566, 672.3405555555555"
"516.1275347159767, 563.1155555555556"
"516.1275347159767, 779.1383333333333"
"522.5831024424566, 648.0683333333336"
"520.4325471636973, 844.6733333333332"
"476.28075228101125, 2507.320555555556"
"519.5719604926952, 1584.9761111111115"
"515.2659093195042, 5393.287777777778"
"514.8350188912955, 6951.564444444444"
"516.1275347159767, 7034.09"
"516.1275347159767, 934.4805555555558"
"477.5868611204718, 1665.0744444444445"
"511.81733684975023, 553.4066666666663"
"520.8627624203501, 580.1061111111112"
"520.4325471636973, 672.3405555555555"
"530.7432977263796, 553.4066666666663"
"522.5831024424566, 660.2044444444446"
"522.5831024424566, 660.2044444444446"
"476.28075228101125, 2259.7438888888883"
"513.1109394574953, 953.8983333333335"
"516.5582696431964, 701.4672222222221"
"511.81733684975023, 3932.0999999999995"
"523.8728098296876, 631.0777777777776"
"516.1275347159767, 689.3311111111111"
"513.1109394574953, 694.1855555555558"
"522.5831024424566, 689.3311111111111"
"520.4325471636973, 694.1855555555553"
"520.4325471636973, 708.7488888888888"
"513.1109394574953, 594.6694444444447"
"516.1275347159767, 956.3255555555556"
"516.9889526957089, 558.261111111111"
"520.4325471636973, 686.9038888888886"
"473.23141713137244, 1839.8344444444447"
"521.2929255970745, 757.2933333333331"
"520.4325471636973, 660.2044444444441"
"522.5831024424566, 793.7016666666668"
"520.4325471636973, 759.7205555555556"
"472.35972980689826, 2932.084444444443"
"513.1109394574953, 876.2272222222223"
"522.1530956286498, 594.6694444444443"
"516.5582696431964, 665.0588888888888"
"516.1275347159767, 742.73"
"520.4325471636973, 919.9172222222219"
"475.84528270819413, 3468.5005555555545"
"515.6967479345718, 1422.3522222222223"
"514.8350188912955, 546.125"
"516.1275347159767, 718.4577777777777"
"516.1275347159767, 2536.4472222222225"
"514.8350188912955, 3009.755555555555"
"514.8350188912955, 3298.595"
"513.9730826775443, 3237.914444444444"
"513.9730826775443, 3237.914444444444"
"519.5719604926952, 3216.069444444445"
"516.1275347159767, 3463.6461111111116"
"516.1275347159767, 3262.186666666667"
"470.1796406794516, 2885.9672222222216"
"514.8350188912955, 1300.991111111111"
"522.5831024424566, 679.6222222222223"
"522.5831024424566, 514.5711111111113"
"515.6967479345718, 771.856666666667"
"511.81733684975023, 597.0966666666664"
"520.4325471636973, 771.8566666666666"
"516.1275347159767, 781.5655555555554"
"513.5420369330461, 783.9927777777775"
"520.4325471636973, 783.9927777777775"
"520.4325471636973, 504.86222222222204"
"520.4325471636973, 609.2327777777778"
"520.4325471636973, 924.7716666666665"
"520.4325471636973, 580.1061111111107"
"519.5719604926952, 611.6600000000003"
"477.5868611204718, 1686.9194444444438"
"513.1109394574953, 686.903888888889"
"522.5831024424566, 686.903888888889"
"520.4325471636973, 677.1949999999997"
"514.8350188912955, 1834.98"
"516.1275347159767, 3716.0772222222226"
"520.4325471636973, 665.0588888888888"
"520.4325471636973, 665.0588888888888"
"517.8501630945242, 720.8849999999998"
"520.4325471636973, 638.3594444444443"
"522.5831024424566, 606.8055555555557"
"522.5831024424566, 606.8055555555557"
"520.4325471636973, 941.7622222222221"
"476.28075228101125, 1337.3994444444434"
"520.4325471636973, 601.951111111111"
