FDGlu mut
# Time of snapshot: 2021-07-29T15:40:47Eastern Standard Time
# Number of frames accumulated: 0
# Scan time per exposure [us]: 50000
" Wavelength [nm], Intensity [RFU]"
"513.5420369330461, 689.3311111111111"
"521.2929255970745, 665.0588888888888"
"512.6797902714144, 543.6977777777779"
"515.2659093195042, 1276.718888888889"
"517.8501630945242, 604.3783333333331"
"515.2659093195042, 3902.973333333333"
"521.2929255970745, 524.2799999999997"
"520.0022798476382, 992.7338888888885"
"513.5420369330461, 1191.766111111111"
"517.8501630945242, 1143.2216666666664"
"516.9889526957089, 1288.8550000000005"
"471.4878433566188, 1043.7055555555553"
"510.5232694013299, 883.508888888889"
"512.6797902714144, 754.8661111111114"
"518.2806903997824, 1276.7188888888895"
"473.23141713137244, 929.6261111111107"
"519.5719604926952, 1208.7566666666662"
"520.0022798476382, 917.4899999999998"
"517.8501630945242, 1332.545"
"521.2929255970745, 1259.728333333333"
"520.8627624203501, 936.9077777777779"
"471.4878433566188, 2742.761111111111"
"518.2806903997824, 1575.2672222222227"
"520.0022798476382, 1439.3427777777774"
"516.9889526957089, 669.9133333333334"
"518.2806903997824, 1466.0422222222223"
"520.0022798476382, 1262.1555555555556"
"512.6797902714144, 1072.8322222222223"
"520.0022798476382, 1029.1422222222222"
"520.8627624203501, 1092.25"
"471.4878433566188, 3021.8916666666664"
"520.8627624203501, 1364.0988888888892"
"517.8501630945242, 553.4066666666663"
"518.2806903997824, 514.5711111111113"
"475.4097631897488, 16883.757777777777"
"514.4040766704684, 570.3972222222219"
