
# Time of snapshot: 2021-06-22T14:42:36Eastern Standard Time
# Number of frames accumulated: 0
# Scan time per exposure [us]: 50000
 Wavelength [nm], Intensity [RFU]
475.84528270819413, 2344.696666666666
514.8350188912955, 3133.543888888889
513.1109394574953, 1131.0855555555554
520.4325471636973, 1708.764444444444
513.1109394574953, 4094.7238888888883
515.6967479345718, 5017.068333333333
513.1109394574953, 3932.1
517.8501630945242, 805.8377777777778
513.1109394574953, 1021.8605555555555
514.8350188912955, 735.4483333333337
514.8350188912955, 6371.458333333334
513.5420369330461, 3070.436111111111
510.0918103830321, 667.4861111111113
475.4097631897488, 963.6072222222219
520.4325471636973, 1774.2994444444448
517.8501630945242, 2774.3150000000005
516.1275347159767, 15337.617222222223
515.6967479345718, 708.7488888888888
515.6967479345718, 6453.983888888888
471.05182551060733, 737.8755555555554
517.4195838529922, 3815.5933333333332
516.5582696431964, 11051.142777777779
516.5582696431964, 14628.868333333334
475.4097631897488, 1745.1727777777778
520.8627624203501, 2500.038888888889
515.6967479345718, 3381.1205555555557
516.1275347159767, 16189.572222222225
520.4325471636973, 2281.5888888888885
513.1109394574953, 1614.1027777777776
520.4325471636973, 500.00777777777785
515.6967479345718, 2978.2016666666664
514.8350188912955, 7092.343333333334
473.23141713137244, 8267.118888888888
513.1109394574953, 2082.556666666667
517.4195838529922, 1189.338888888889
516.9889526957089, 14597.314444444446
514.8350188912955, 14871.590555555555
517.8501630945242, 2907.812222222222
475.84528270819413, 1021.860555555555
513.1109394574953, 1859.252222222222
514.8350188912955, 4305.892222222223
517.4195838529922, 4327.737222222222
516.5582696431964, 17466.29111111111
517.4195838529922, 9623.93611111111
515.6967479345718, 15784.22611111111
516.5582696431964, 15024.505555555557
515.6967479345718, 16806.08666666667
517.8501630945242, 11973.487222222222
517.4195838529922, 793.7016666666668
514.8350188912955, 14757.511111111111
515.6967479345718, 12619.128333333332
523.4429595634975, 616.5144444444445
517.8501630945242, 5344.743333333334
471.4878433566188, 8216.147222222222
516.5582696431964, 4155.404444444444
513.1109394574953, 866.518333333333
518.7111657482452, 3424.8105555555553
517.8501630945242, 5436.977777777778
517.4195838529922, 4919.979444444444
515.6967479345718, 2674.798888888889
513.1109394574953, 868.9455555555555
475.4097631897488, 1109.2405555555551
516.5582696431964, 3361.702777777778
519.1415891193901, 1097.1044444444442
523.4429595634975, 1075.2594444444444
516.5582696431964, 15405.579444444445
514.4040766704684, 13179.816666666666
521.7230366733485, 1267.0099999999998
514.8350188912955, 3873.846666666667
513.1109394574953, 820.4011111111108
475.4097631897488, 3946.663333333334
516.9889526957089, 12757.480000000001
515.6967479345718, 6810.785555555554
513.9730826775443, 3888.4100000000003
475.84528270819413, 1541.2861111111106
514.8350188912955, 2611.6911111111117
514.8350188912955, 6184.562222222223
515.2659093195042, 11225.902777777777
516.1275347159767, 14827.900555555556
472.35972980689826, 31005.33666666667
516.1275347159767, 9650.635555555556
471.4878433566188, 46481.305555555555
515.6967479345718, 9803.550555555556
514.8350188912955, 5689.408888888889
515.6967479345718, 6240.388333333332
520.4325471636973, 1106.8133333333335
514.8350188912955, 7123.897222222224
520.4325471636973, 762.1477777777777
470.1796406794516, 2980.6288888888885
514.8350188912955, 4206.376111111111
515.6967479345718, 17946.881111111114
513.1109394574953, 2815.577777777778
516.5582696431964, 4213.657777777778
515.6967479345718, 6708.842222222222
475.4097631897488, 5730.671666666667
515.6967479345718, 2912.6666666666665
471.4878433566188, 2048.575555555556
514.8350188912955, 2162.655
513.1109394574953, 10388.511111111111
513.1109394574953, 1922.3600000000001
517.8501630945242, 939.335
513.1109394574953, 1463.6150000000002
514.8350188912955, 1004.8700000000003
514.8350188912955, 762.1477777777782
475.84528270819413, 1080.1138888888881
511.81733684975023, 1640.8022222222226
515.6967479345718, 2155.3733333333334
515.6967479345718, 14204.104444444443
471.4878433566188, 9371.505000000001
517.4195838529922, 3230.632777777778
515.6967479345718, 15992.967222222223
471.4878433566188, 2334.9877777777783
514.8350188912955, 3145.68
515.6967479345718, 1502.4505555555556
520.4325471636973, 1961.195555555556
520.4325471636973, 822.8283333333334
516.1275347159767, 13614.289444444443
515.6967479345718, 9662.771666666666
514.8350188912955, 2616.545555555556
517.4195838529922, 2092.2655555555557
522.1530956286498, 2410.231666666666
518.2806903997824, 3512.1905555555554
513.1109394574953, 912.6355555555556
523.4429595634975, 623.7961111111113
520.4325471636973, 1672.3561111111112
515.6967479345718, 907.7811111111109
517.4195838529922, 2832.5683333333336
515.6967479345718, 3449.082777777778
471.4878433566188, 1587.4033333333336
520.4325471636973, 2393.2411111111114
517.8501630945242, 4007.3438888888886
513.1109394574953, 3907.827777777778
514.8350188912955, 723.3122222222223
471.4878433566188, 3111.698888888889
516.1275347159767, 2305.8611111111113
515.6967479345718, 9332.669444444444
513.9730826775443, 4735.5105555555565
517.8501630945242, 752.4388888888889
471.4878433566188, 1395.6527777777783
514.8350188912955, 1776.726666666667
514.8350188912955, 1359.2444444444445
513.9730826775443, 8347.217222222222
514.8350188912955, 2087.411111111111
514.8350188912955, 2203.917777777778
475.4097631897488, 1104.386111111111
513.1109394574953, 898.0722222222221
515.6967479345718, 3145.68
518.7111657482452, 3145.68
520.4325471636973, 1655.3655555555551
517.4195838529922, 1490.3144444444442
517.8501630945242, 660.2044444444446
474.53857439806194, 1138.3672222222222
514.8350188912955, 2657.808333333334
517.8501630945242, 2121.3922222222227
471.4878433566188, 1033.996666666667
520.4325471636973, 1067.9777777777776
518.2806903997824, 2720.916111111111
513.1109394574953, 589.8149999999996
