"FDGlcNAC MUTANT 10msec 0.025oil 0.0052 drops, sort on >40000 gate"
# Time of snapshot: 2021-08-25T16:04:32Eastern Standard Time
# Number of frames accumulated: 0
# Scan time per exposure [us]: 50000
" Wavelength [nm], Intensity [RFU]"
"519.1415891193901, 1781.581111111111"
"516.1275347159767, 3313.1583333333333"
"473.23141713137244, 1580.1216666666664"
"516.9889526957089, 4068.0244444444443"
"471.4878433566188, 4082.587777777778"
"515.6967479345718, 9548.692222222222"
"515.6967479345718, 7153.023888888889"
"517.4195838529922, 1686.9194444444447"
"516.1275347159767, 5762.225555555557"
"516.5582696431964, 2521.883888888889"
"515.6967479345718, 4172.395"
"516.1275347159767, 6725.832777777778"
"515.6967479345718, 7165.16"
"516.5582696431964, 3662.6783333333337"
"515.6967479345718, 1155.3577777777778"
"515.6967479345718, 5650.573333333334"
"515.6967479345718, 905.3538888888888"
"472.35972980689826, 1742.7455555555557"
"516.5582696431964, 9699.18"
"515.6967479345718, 672.3405555555555"
"519.1415891193901, 5172.410555555556"
"516.1275347159767, 2327.706111111111"
"520.0022798476382, 2080.1294444444447"
"515.6967479345718, 2691.789444444444"
"472.35972980689826, 2575.282777777778"
"515.2659093195042, 6626.316666666666"
"515.6967479345718, 3405.3927777777776"
"515.6967479345718, 1293.7094444444442"
"472.7955983701221, 3635.978888888889"
"515.6967479345718, 8500.132222222222"
"516.1275347159767, 5599.601666666667"
"515.6967479345718, 8055.950555555555"
"517.4195838529922, 6075.337222222222"
"515.6967479345718, 2868.976666666667"
"515.6967479345718, 5449.113888888889"
"514.4040766704684, 7102.052222222223"
"516.5582696431964, 1089.822777777778"
"519.1415891193901, 1089.822777777778"
"470.6157579447109, 1456.3333333333335"
"515.6967479345718, 1944.2050000000004"
"475.4097631897488, 1815.5622222222223"
"515.6967479345718, 2618.9727777777775"
"470.6157579447109, 2444.2127777777782"
"516.9889526957089, 8803.535"
"516.1275347159767, 6903.02"
"516.1275347159767, 8594.79388888889"
"516.9889526957089, 2276.7344444444443"
"516.5582696431964, 4686.966111111111"
"515.6967479345718, 2599.555"
"515.6967479345718, 3461.218888888889"
"473.23141713137244, 4555.896111111111"
"515.6967479345718, 5043.767777777777"
"515.6967479345718, 2206.345"
"515.6967479345718, 917.4899999999998"
"516.1275347159767, 1121.376666666667"
"515.6967479345718, 5024.35"
"515.6967479345718, 6541.363888888889"
"470.1796406794516, 8988.003888888888"
"514.8350188912955, 9199.172222222223"
"473.23141713137244, 3017.0372222222227"
"515.6967479345718, 1262.1555555555556"
"515.6967479345718, 3983.0716666666663"
"472.35972980689826, 3427.237777777778"
"515.6967479345718, 6822.921666666667"
"516.1275347159767, 2839.85"
"516.1275347159767, 5500.085555555555"
"515.6967479345718, 4771.918888888889"
"515.6967479345718, 3288.8861111111114"
"471.4878433566188, 2788.878333333333"
"515.6967479345718, 6315.6322222222225"
"516.5582696431964, 7038.944444444445"
"515.6967479345718, 1325.2633333333333"
"515.6967479345718, 7555.942777777776"
"515.6967479345718, 1672.3561111111107"
"515.6967479345718, 4208.803333333333"
"472.35972980689826, 2912.6666666666665"
"515.6967479345718, 6029.219999999999"
"516.9889526957089, 4186.958333333333"
"471.4878433566188, 4313.173888888889"
"516.9889526957089, 9842.386111111111"
"515.6967479345718, 3818.0205555555553"
"515.6967479345718, 917.4899999999998"
"515.6967479345718, 3194.2244444444445"
"517.4195838529922, 2876.258333333333"
"471.9238114622231, 1067.977777777778"
"514.4040766704684, 1048.56"
"514.8350188912955, 4395.699444444444"
"515.2659093195042, 3781.6122222222225"
"515.6967479345718, 9495.293333333333"
"516.1275347159767, 1813.1349999999998"
"474.53857439806194, 1514.586666666667"
"515.6967479345718, 4318.028333333334"
"510.0918103830321, 563.1155555555556"
"473.23141713137244, 1424.7794444444448"
"515.6967479345718, 1941.7777777777778"
"515.6967479345718, 1417.497777777778"
"516.5582696431964, 1548.5677777777778"
"471.9238114622231, 2582.5644444444442"
"516.5582696431964, 6354.467777777778"
"473.23141713137244, 1565.5583333333338"
"515.6967479345718, 4577.7411111111105"
"515.6967479345718, 626.2233333333334"
"515.6967479345718, 7517.107222222221"
"515.6967479345718, 7247.685555555556"
"472.35972980689826, 3589.861666666667"
"516.1275347159767, 5330.18"
"516.5582696431964, 1351.9627777777782"
"515.6967479345718, 767.0022222222224"
"518.7111657482452, 1563.1311111111108"
"472.7955983701221, 4643.276111111111"
"516.1275347159767, 5861.741666666667"
"515.6967479345718, 6592.335555555555"
"470.6157579447109, 3463.6461111111116"
"515.6967479345718, 3279.177222222222"
"516.1275347159767, 2592.273333333333"
"515.6967479345718, 548.5522222222221"
"518.2806903997824, 548.5522222222221"
"516.9889526957089, 915.0627777777781"
"515.6967479345718, 5361.733888888888"
"516.1275347159767, 2063.138888888889"
"515.6967479345718, 2553.4377777777777"
"516.1275347159767, 1325.2633333333338"
"514.4040766704684, 4919.979444444444"
"473.23141713137244, 881.0816666666665"
"515.6967479345718, 597.0966666666668"
"516.5582696431964, 5936.985555555557"
"516.5582696431964, 798.5561111111115"
"516.1275347159767, 3318.0127777777784"
"515.6967479345718, 1478.1783333333337"
"475.4097631897488, 1939.3505555555553"
"515.6967479345718, 2987.9105555555557"
"516.9889526957089, 5114.157222222222"
"472.7955983701221, 1538.858888888889"
"515.6967479345718, 9335.096666666666"
"516.1275347159767, 3213.6422222222222"
"515.6967479345718, 8046.241666666667"
"474.1029051658645, 1371.380555555555"
"516.1275347159767, 2315.57"
"515.6967479345718, 502.43499999999995"
"472.35972980689826, 2788.8783333333336"
