
# Time of snapshot: 2021-05-04T20:08:27Eastern Standard Time
# Number of frames accumulated: 0
# Scan time per exposure [us]: 100000
 Wavelength [nm], Intensity [RFU]
515.6967479345718, 19692.053888888888
447.8722395471734, 4036.4705555555556
516.5582696431964, 13713.805555555555
513.9730826775443, 18281.837777777775
514.4040766704684, 10718.613333333335
515.6967479345718, 17927.46333333333
448.3108642676124, 4009.7711111111057
505.3423622828412, 4000.0622222222228
513.1109394574953, 8660.32888888889
515.6967479345718, 19757.58888888889
516.5582696431964, 20823.13944444444
505.3423622828412, 4121.423333333332
515.6967479345718, 33517.51166666667
515.6967479345718, 6606.898888888889
515.6967479345718, 15019.651111111114
516.1275347159767, 19597.39222222222
505.3423622828412, 4123.85055555556
515.6967479345718, 10310.84
505.3423622828412, 7449.145000000004
507.50197408713404, 5915.140555555554
516.5582696431964, 20313.422777777774
515.6967479345718, 14410.418333333331
505.3423622828412, 4036.4705555555556
515.6967479345718, 19068.25777777778
505.3423622828412, 4038.8977777777836
505.3423622828412, 4026.7616666666654
513.1109394574953, 15056.059444444443
515.6967479345718, 20607.116666666665
515.6967479345718, 17767.266666666666
516.5582696431964, 33231.09944444444
516.1275347159767, 19199.32777777778
516.1275347159767, 18194.457777777778
507.50197408713404, 7531.670555555553
516.5582696431964, 9767.14222222222
516.5582696431964, 19332.825
514.4040766704684, 19859.532222222224
513.9730826775443, 17774.548333333336
516.1275347159767, 17446.873333333333
516.9889526957089, 17866.782777777775
511.81733684975023, 17546.38944444445
514.4040766704684, 17670.177777777775
505.3423622828412, 4133.559444444443
516.5582696431964, 18145.913333333334
505.3423622828412, 4094.7238888888896
515.6967479345718, 15922.57777777778
515.6967479345718, 19388.651111111114
511.81733684975023, 18480.87
515.6967479345718, 16696.861666666668
507.93374219885294, 5106.8755555555545
514.4040766704684, 16417.731111111112
515.6967479345718, 19815.842222222225
516.9889526957089, 17886.200555555555
514.4040766704684, 17672.605000000003
505.3423622828412, 5165.1288888888885
515.6967479345718, 16114.328333333335
515.6967479345718, 19432.34111111111
515.6967479345718, 17759.984999999997
514.4040766704684, 19422.632222222222
507.93374219885294, 7026.808333333334
515.6967479345718, 15259.946111111112
516.5582696431964, 18568.249999999996
505.3423622828412, 4009.771111111113
516.5582696431964, 18325.527777777777
515.6967479345718, 19158.065
514.4040766704684, 17852.219444444447
516.9889526957089, 18155.622222222224
514.4040766704684, 19597.392222222225
516.9889526957089, 18245.429444444442
515.6967479345718, 18951.751111111113
447.4335661945217, 4145.695555555561
516.1275347159767, 16582.78222222222
516.5582696431964, 4065.5972222222226
515.6967479345718, 19371.660555555554
448.3108642676124, 4259.774999999994
513.1109394574953, 18995.44111111111
515.6967479345718, 18293.973888888886
447.4335661945217, 4012.1983333333337
505.3423622828412, 4055.888333333336
516.1275347159767, 18466.306666666667
515.6967479345718, 17560.95277777778
516.5582696431964, 18641.066666666662
515.6967479345718, 16677.443888888887
514.4040766704684, 18269.701666666668
505.3423622828412, 4609.2950000000055
516.5582696431964, 18517.278333333332
516.5582696431964, 20400.80277777778
516.5582696431964, 18364.36333333333
505.3423622828412, 4046.179444444446
516.5582696431964, 19665.354444444445
505.3423622828412, 4070.4516666666677
515.6967479345718, 19158.065
516.5582696431964, 18053.678888888888
515.6967479345718, 19114.374999999996
516.5582696431964, 17721.149444444443
505.3423622828412, 4051.0338888888946
516.5582696431964, 18240.575
507.93374219885294, 9085.092777777776
513.1109394574953, 11439.49833333333
517.4195838529922, 18162.903888888886
511.81733684975023, 10881.237222222222
515.6967479345718, 19684.772222222226
505.3423622828412, 4288.901666666672
516.5582696431964, 18886.21611111111
516.1275347159767, 19056.121666666662
514.4040766704684, 19793.99722222222
516.5582696431964, 19233.308888888885
505.3423622828412, 4017.0527777777825
515.6967479345718, 19446.90444444444
447.4335661945217, 4017.0527777777825
505.3423622828412, 4538.905555555561
515.6967479345718, 17645.905555555557
505.3423622828412, 4036.4705555555556
514.4040766704684, 18995.44111111111
448.3108642676124, 4087.44222222222
511.81733684975023, 14301.193333333333
513.1109394574953, 6233.106666666667
516.1275347159767, 18551.259444444444
515.6967479345718, 18925.05166666667
516.1275347159767, 15888.596666666668
515.6967479345718, 19128.938333333335
447.4335661945217, 4114.14166666667
507.93374219885294, 8643.338333333333
516.5582696431964, 18842.526111111107
515.6967479345718, 18466.306666666667
516.1275347159767, 19718.75333333333
514.4040766704684, 5847.178333333333
516.5582696431964, 18893.49777777778
515.6967479345718, 19361.951666666664
448.3108642676124, 4041.324999999997
513.1109394574953, 14000.217777777776
513.1109394574953, 6247.669999999998
447.4335661945217, 4257.347777777781
505.3423622828412, 4043.752222222225
515.6967479345718, 18187.17611111111
503.6137485758955, 4085.0149999999994
447.4335661945217, 4150.550000000003
513.1109394574953, 18184.74888888889
515.6967479345718, 18235.720555555552
514.4040766704684, 18784.272777777776
514.4040766704684, 19779.43388888889
515.6967479345718, 11609.40388888889
447.4335661945217, 4390.845000000001
505.3423622828412, 4014.6255555555545
515.6967479345718, 19111.947777777776
515.6967479345718, 19599.81944444444
511.81733684975023, 17446.873333333333
516.5582696431964, 17891.054999999997
516.1275347159767, 19090.102777777774
515.6967479345718, 20514.88222222222
447.8722395471734, 4004.9166666666642
514.4040766704684, 15587.621111111112
515.6967479345718, 5631.155555555557
447.4335661945217, 4264.62944444445
505.3423622828412, 4109.287222222221
516.5582696431964, 19417.777777777777
447.4335661945217, 4199.094444444447
505.3423622828412, 4254.92055555556
516.5582696431964, 19711.471666666668
516.5582696431964, 19701.762777777778
