<<<<<<< HEAD

# Time of snapshot: 2021-03-24T19:29:45Eastern Standard Time
# 0.2 ul spacer oil 0.001 resorufin 60ng 0.004 oil trial
# Number of frames accumulated: 0
# Scan time per exposure [us]: 100000
 Wavelength [nm], Intensity [RFU]:
581.8373278493451, 4203.948888888889
582.2598323006089, 4281.62
581.8373278493451, 4155.404444444444
581.8373278493451, 4322.882777777778
580.5694844900961, 4628.712777777778
581.4147683834901, 4495.2155555555555
582.2598323006089, 4344.727777777778
581.8373278493451, 4320.455555555555
581.8373278493451, 4279.192777777777
582.2598323006089, 4172.395
581.4147683834901, 4417.544444444445
580.5694844900961, 4332.591666666666
581.8373278493451, 4271.9111111111115
582.2598323006089, 4347.155
580.9921539235664, 4364.145555555556
582.6822817167598, 4072.878888888889
581.8373278493451, 4199.094444444445
580.9921539235664, 4034.0433333333335
581.4147683834901, 3973.362777777778
581.8373278493451, 4369.0
581.8373278493451, 3342.285
581.8373278493451, 4038.8977777777777
582.2598323006089, 4587.45
582.6822817167598, 6291.36
580.9921539235664, 6322.913888888889
581.8373278493451, 4941.824444444444
582.2598323006089, 3427.237777777778
582.2598323006089, 4985.514444444444
581.4147683834901, 3650.5422222222223
581.8373278493451, 3929.672777777778
582.2598323006089, 3888.41
580.5694844900961, 3912.682222222222
581.8373278493451, 3961.2266666666665
581.4147683834901, 3883.5555555555557
582.2598323006089, 3924.818333333333
582.6822817167598, 3997.635
581.8373278493451, 3563.162222222222
581.4147683834901, 3538.89
580.5694844900961, 3301.0222222222224
581.4147683834901, 7701.5761111111115
581.8373278493451, 5432.123333333333
581.8373278493451, 9949.183888888889
581.4147683834901, 8733.145555555555
581.4147683834901, 8674.892222222223
581.8373278493451, 6694.278888888889
581.4147683834901, 9179.754444444445
582.2598323006089, 8803.535
582.6822817167598, 9929.766111111112
582.2598323006089, 5801.061111111111
582.2598323006089, 3257.3322222222223
581.4147683834901, 3458.7916666666665
580.5694844900961, 5094.739444444444
581.8373278493451, 3808.3116666666665
580.9921539235664, 3936.9544444444446
581.8373278493451, 4502.497222222222
581.8373278493451, 6563.208888888889
581.8373278493451, 9250.14388888889
581.8373278493451, 8538.967777777778
581.8373278493451, 8291.391111111112
581.8373278493451, 7638.468333333333
582.2598323006089, 4381.136111111111
582.2598323006089, 7354.483333333334
582.2598323006089, 8017.115
582.2598323006089, 4123.850555555556
582.2598323006089, 8478.287222222221
581.4147683834901, 4546.187222222222
579.7239807846037, 3529.181111111111
581.4147683834901, 3529.181111111111
581.4147683834901, 3303.4494444444445
580.9921539235664, 3288.886111111111
580.146760103601, 3849.5744444444445
581.8373278493451, 3842.2927777777777
=======

# Time of snapshot: 2021-03-24T19:29:45Eastern Standard Time
# 0.2 ul spacer oil 0.001 resorufin 60ng 0.004 oil trial
# Number of frames accumulated: 0
# Scan time per exposure [us]: 100000
 Wavelength [nm], Intensity [RFU]:
581.8373278493451, 4203.948888888889
582.2598323006089, 4281.62
581.8373278493451, 4155.404444444444
581.8373278493451, 4322.882777777778
580.5694844900961, 4628.712777777778
581.4147683834901, 4495.2155555555555
582.2598323006089, 4344.727777777778
581.8373278493451, 4320.455555555555
581.8373278493451, 4279.192777777777
582.2598323006089, 4172.395
581.4147683834901, 4417.544444444445
580.5694844900961, 4332.591666666666
581.8373278493451, 4271.9111111111115
582.2598323006089, 4347.155
580.9921539235664, 4364.145555555556
582.6822817167598, 4072.878888888889
581.8373278493451, 4199.094444444445
580.9921539235664, 4034.0433333333335
581.4147683834901, 3973.362777777778
581.8373278493451, 4369.0
581.8373278493451, 3342.285
581.8373278493451, 4038.8977777777777
582.2598323006089, 4587.45
582.6822817167598, 6291.36
580.9921539235664, 6322.913888888889
581.8373278493451, 4941.824444444444
582.2598323006089, 3427.237777777778
582.2598323006089, 4985.514444444444
581.4147683834901, 3650.5422222222223
581.8373278493451, 3929.672777777778
582.2598323006089, 3888.41
580.5694844900961, 3912.682222222222
581.8373278493451, 3961.2266666666665
581.4147683834901, 3883.5555555555557
582.2598323006089, 3924.818333333333
582.6822817167598, 3997.635
581.8373278493451, 3563.162222222222
581.4147683834901, 3538.89
580.5694844900961, 3301.0222222222224
581.4147683834901, 7701.5761111111115
581.8373278493451, 5432.123333333333
581.8373278493451, 9949.183888888889
581.4147683834901, 8733.145555555555
581.4147683834901, 8674.892222222223
581.8373278493451, 6694.278888888889
581.4147683834901, 9179.754444444445
582.2598323006089, 8803.535
582.6822817167598, 9929.766111111112
582.2598323006089, 5801.061111111111
582.2598323006089, 3257.3322222222223
581.4147683834901, 3458.7916666666665
580.5694844900961, 5094.739444444444
581.8373278493451, 3808.3116666666665
580.9921539235664, 3936.9544444444446
581.8373278493451, 4502.497222222222
581.8373278493451, 6563.208888888889
581.8373278493451, 9250.14388888889
581.8373278493451, 8538.967777777778
581.8373278493451, 8291.391111111112
581.8373278493451, 7638.468333333333
582.2598323006089, 4381.136111111111
582.2598323006089, 7354.483333333334
582.2598323006089, 8017.115
582.2598323006089, 4123.850555555556
582.2598323006089, 8478.287222222221
581.4147683834901, 4546.187222222222
579.7239807846037, 3529.181111111111
581.4147683834901, 3529.181111111111
581.4147683834901, 3303.4494444444445
580.9921539235664, 3288.886111111111
580.146760103601, 3849.5744444444445
581.8373278493451, 3842.2927777777777
>>>>>>> ccc69ef02841cb91a3f553dce55ba1ddb4c1fe38
