<<<<<<< HEAD
# FLAME spectrum data format
# Time of snapshot: 2021-03-20T18:51:42Eastern Standard Time
# Number of frames accumulated: 0
# Scan time per exposure [us]: 100000
# Wavelength [nm], Intensity [count]:
189.1861363086452, 2092.2655555555557
189.64926416366848, 2014.5944444444444
190.11235512512943, 2017.0216666666668
190.57540917250594, 2048.5755555555556
191.03842628527582, 2051.0027777777777
191.50140644291702, 2031.585
191.9643496249074, 2014.5944444444444
192.4272558107249, 2019.4488888888889
192.89012497984731, 2055.8572222222224
193.35295711175254, 2080.1294444444443
193.81575218591854, 2157.8005555555555
194.27851018182312, 2145.6644444444446
194.7412310789442, 2186.927222222222
195.20391485675964, 2228.19
195.66656149474733, 2220.9083333333333
196.12917097238517, 2216.053888888889
196.59174326915107, 2264.5983333333334
197.05427836452282, 2230.617222222222
197.51677623797838, 2291.297777777778
197.97923686899566, 2325.278888888889
198.44166023705247, 2235.471666666667
198.9040463216267, 2308.2883333333334
199.36639510219626, 2301.0066666666667
199.82870655823908, 2371.396111111111
200.29098066923297, 2412.6588888888887
200.7532174146558, 2332.5605555555558
201.21541677398554, 2393.241111111111
201.6775787267, 2444.212777777778
202.13970325227712, 2366.5416666666665
202.60179033019475, 2427.222222222222
203.06383993993072, 2424.795
203.52585206096302, 2441.7855555555557
203.9878266727695, 2436.931111111111
204.44976375482798, 2432.076666666667
204.91166328661643, 2419.9405555555554
205.3735252476127, 2432.076666666667
205.83534961729464, 2451.4944444444445
206.2971363751402, 2526.7383333333332
206.75888550062717, 2402.95
207.22059697323357, 2458.7761111111113
207.68227077243716, 2475.766666666667
208.14390687771592, 2461.2033333333334
208.6055052685476, 2424.795
209.0670659244102, 2470.912222222222
209.5285888247816, 2444.212777777778
209.99007394913966, 2478.193888888889
210.4515212769622, 2475.766666666667
210.9129307877272, 2504.8933333333334
211.3743024609125, 2470.912222222222
211.835636275996, 2407.8044444444445
212.29693221245557, 2415.086111111111
212.7581902497691, 2473.3394444444443
213.21941036741444, 2390.813888888889
213.68059254486954, 2388.3866666666668
214.14173676161224, 2449.0672222222224
214.60284299712043, 2388.3866666666668
215.06391123087198, 2383.532222222222
215.52494144234484, 2415.086111111111
215.9859336110168, 2429.6494444444443
216.4468877163658, 2458.7761111111113
216.9078037378697, 2439.358333333333
217.36868165500644, 2393.241111111111
217.82952144725382, 2359.26
218.29032309408976, 2429.6494444444443
218.75108657499214, 2356.8327777777777
219.2118118694389, 2424.795
219.67249895690784, 2417.5133333333333
220.13314781687689, 2434.503888888889
220.5937584288239, 2395.6683333333335
221.0543307722268, 2402.95
221.51486482656347, 2402.95
221.97536057131174, 2429.6494444444443
222.43581798594948, 2383.532222222222
222.8962370499547, 2407.8044444444445
223.35661774280518, 2436.931111111111
223.81696004397878, 2402.95
224.2772639329535, 2453.9216666666666
224.73752938920714, 2466.0577777777776
225.1977563922176, 2415.086111111111
225.65794492146279, 2356.8327777777777
226.1180949564205, 2349.551111111111
226.57820647656874, 2383.532222222222
227.03827946138532, 2366.5416666666665
227.4983138903481, 2383.532222222222
227.95830974293503, 2427.222222222222
228.418266998624, 2351.9783333333335
228.87818563689282, 2407.8044444444445
229.33806563721944, 2470.912222222222
229.79790697908172, 2398.0955555555556
230.25770964195752, 2400.5227777777777
230.71747360532476, 2449.0672222222224
231.1771988486613, 2415.086111111111
231.63688535144504, 2417.5133333333333
232.09653309315385, 2366.5416666666665
232.5561420532656, 2439.358333333333
233.01571221125823, 2376.2505555555554
233.4752435466096, 2398.0955555555556
233.93473603879755, 2458.7761111111113
234.3941896673, 2441.7855555555557
234.85360441159483, 2361.6872222222223
235.31298025115996, 2407.8044444444445
235.77231716547317, 2449.0672222222224
236.23161513401246, 2419.9405555555554
236.69087413625567, 2398.0955555555556
237.15009415168063, 2429.6494444444443
237.60927515976533, 2434.503888888889
238.0684171399876, 2376.2505555555554
238.52752007182528, 2395.6683333333335
238.9865839347563, 2415.086111111111
239.44560870825856, 2444.212777777778
239.90459437180988, 2417.5133333333333
240.36354090488823, 2330.133333333333
240.82244828697142, 2393.241111111111
241.28131649753738, 2364.1144444444444
241.740145516064, 2407.8044444444445
242.1989353220291, 2453.9216666666666
242.65768589491063, 2483.048333333333
243.1163972141864, 2441.7855555555557
243.5750692593344, 2393.241111111111
244.03370200983244, 2400.5227777777777
244.49229544515842, 2485.4755555555557
244.95084954479023, 2417.5133333333333
245.40936428820572, 2466.0577777777776
245.8678396548828, 2344.6966666666667
246.3262756242994, 2429.6494444444443
246.7846721759333, 2449.0672222222224
247.2430292892625, 2400.5227777777777
247.7013469437648, 2395.6683333333335
248.15962511891811, 2470.912222222222
248.61786379420033, 2405.3772222222224
249.0760629490893, 2468.485
249.53422256306294, 2487.902777777778
249.9923426155991, 2393.241111111111
250.4504230861757, 2470.912222222222
250.90846395427067, 2427.222222222222
251.3664651993618, 2453.9216666666666
251.82442680092703, 2410.2316666666666
252.2823487384442, 2514.6022222222223
252.7402309913912, 2466.0577777777776
253.19807353924597, 2434.503888888889
253.65587636148632, 2466.0577777777776
254.1136394375902, 2385.9594444444447
254.57136274703547, 2434.503888888889
255.02904626929998, 2405.3772222222224
255.48668998386165, 2427.222222222222
255.94429387019835, 2512.175
256.401857907788, 2466.0577777777776
256.8593820761084, 2388.3866666666668
257.3168663546375, 2412.6588888888887
257.77431072285316, 2356.8327777777777
258.2317151602333, 2451.4944444444445
258.6890796462558, 2424.795
259.14640416039845, 2405.3772222222224
259.6036886821393, 2354.4055555555556
260.0609331909561, 2398.0955555555556
