# FLAME spectrum data format
# Time of snapshot: 2021-04-19T18:40:42Eastern Standard Time
# Number of frames accumulated: 0
# Scan time per exposure [us]: 100000
# Wavelength [nm], Intensity [count]:
189.1861363086452, 1902.9422222222222
189.64926416366848, 1912.651111111111
190.11235512512943, 1922.36
190.57540917250594, 1788.8627777777779
191.03842628527582, 1900.515
191.50140644291702, 1941.7777777777778
191.9643496249074, 1958.7683333333334
192.4272558107249, 2017.0216666666668
192.89012497984731, 1934.496111111111
193.35295711175254, 2009.74
193.81575218591854, 1987.895
194.27851018182312, 1980.6133333333332
194.7412310789442, 2000.0311111111112
195.20391485675964, 2109.2561111111113
195.66656149474733, 2055.8572222222224
196.12917097238517, 2058.2844444444445
196.59174326915107, 2138.382777777778
197.05427836452282, 2216.053888888889
197.51677623797838, 2148.0916666666667
197.97923686899566, 2145.6644444444446
198.44166023705247, 2172.363888888889
198.9040463216267, 2182.072777777778
199.36639510219626, 2264.5983333333334
199.82870655823908, 2254.8894444444445
200.29098066923297, 2254.8894444444445
200.7532174146558, 2325.278888888889
201.21541677398554, 2334.987777777778
201.6775787267, 2274.307222222222
202.13970325227712, 2308.2883333333334
202.60179033019475, 2254.8894444444445
203.06383993993072, 2301.0066666666667
203.52585206096302, 2325.278888888889
203.9878266727695, 2274.307222222222
204.44976375482798, 2349.551111111111
204.91166328661643, 2342.2694444444446
205.3735252476127, 2259.7438888888887
205.83534961729464, 2334.987777777778
206.2971363751402, 2332.5605555555558
206.75888550062717, 2361.6872222222223
207.22059697323357, 2356.8327777777777
207.68227077243716, 2320.4244444444444
208.14390687771592, 2436.931111111111
208.6055052685476, 2376.2505555555554
209.0670659244102, 2308.2883333333334
209.5285888247816, 2320.4244444444444
209.99007394913966, 2308.2883333333334
210.4515212769622, 2405.3772222222224
210.9129307877272, 2344.6966666666667
211.3743024609125, 2393.241111111111
211.835636275996, 2322.8516666666665
212.29693221245557, 2301.0066666666667
212.7581902497691, 2315.57
213.21941036741444, 2330.133333333333
213.68059254486954, 2339.842222222222
214.14173676161224, 2342.2694444444446
214.60284299712043, 2274.307222222222
215.06391123087198, 2354.4055555555556
215.52494144234484, 2308.2883333333334
215.9859336110168, 2308.2883333333334
216.4468877163658, 2313.1427777777776
216.9078037378697, 2308.2883333333334
217.36868165500644, 2339.842222222222
217.82952144725382, 2330.133333333333
218.29032309408976, 2213.6266666666666
218.75108657499214, 2254.8894444444445
219.2118118694389, 2286.443333333333
219.67249895690784, 2274.307222222222
220.13314781687689, 2361.6872222222223
220.5937584288239, 2361.6872222222223
221.0543307722268, 2415.086111111111
221.51486482656347, 2349.551111111111
221.97536057131174, 2347.123888888889
222.43581798594948, 2298.5794444444446
222.8962370499547, 2322.8516666666665
223.35661774280518, 2320.4244444444444
223.81696004397878, 2313.1427777777776
224.2772639329535, 2354.4055555555556
224.73752938920714, 2281.588888888889
225.1977563922176, 2230.617222222222
225.65794492146279, 2308.2883333333334
226.1180949564205, 2298.5794444444446
226.57820647656874, 2247.6077777777778
227.03827946138532, 2332.5605555555558
227.4983138903481, 2296.152222222222
227.95830974293503, 2310.7155555555555
228.418266998624, 2344.6966666666667
228.87818563689282, 2349.551111111111
229.33806563721944, 2347.123888888889
229.79790697908172, 2242.7533333333336
230.25770964195752, 2322.8516666666665
230.71747360532476, 2354.4055555555556
231.1771988486613, 2308.2883333333334
231.63688535144504, 2388.3866666666668
232.09653309315385, 2327.706111111111
232.5561420532656, 2381.105
233.01571221125823, 2320.4244444444444
233.4752435466096, 2305.8611111111113
233.93473603879755, 2327.706111111111
234.3941896673, 2373.8233333333333
234.85360441159483, 2284.016111111111
235.31298025115996, 2298.5794444444446
235.77231716547317, 2349.551111111111
236.23161513401246, 2315.57
236.69087413625567, 2281.588888888889
237.15009415168063, 2327.706111111111
237.60927515976533, 2262.1711111111113
238.0684171399876, 2356.8327777777777
238.52752007182528, 2325.278888888889
238.9865839347563, 2288.8705555555557
239.44560870825856, 2296.152222222222
239.90459437180988, 2317.9972222222223
240.36354090488823, 2388.3866666666668
240.82244828697142, 2349.551111111111
241.28131649753738, 2334.987777777778
241.740145516064, 2310.7155555555555
242.1989353220291, 2291.297777777778
242.65768589491063, 2269.4527777777776
243.1163972141864, 2284.016111111111
243.5750692593344, 2281.588888888889
244.03370200983244, 2298.5794444444446
244.49229544515842, 2366.5416666666665
244.95084954479023, 2305.8611111111113
245.40936428820572, 2284.016111111111
245.8678396548828, 2308.2883333333334
246.3262756242994, 2373.8233333333333
246.7846721759333, 2305.8611111111113
247.2430292892625, 2305.8611111111113
247.7013469437648, 2317.9972222222223
248.15962511891811, 2286.443333333333
248.61786379420033, 2330.133333333333
249.0760629490893, 2373.8233333333333
249.53422256306294, 2339.842222222222
249.9923426155991, 2349.551111111111
250.4504230861757, 2315.57
250.90846395427067, 2327.706111111111
251.3664651993618, 2320.4244444444444
251.82442680092703, 2254.8894444444445
252.2823487384442, 2351.9783333333335
252.7402309913912, 2310.7155555555555
253.19807353924597, 2339.842222222222
253.65587636148632, 2313.1427777777776
254.1136394375902, 2381.105
254.57136274703547, 2356.8327777777777
255.02904626929998, 2347.123888888889
255.48668998386165, 2376.2505555555554
255.94429387019835, 2371.396111111111
256.401857907788, 2381.105
256.8593820761084, 2305.8611111111113
257.3168663546375, 2330.133333333333
257.77431072285316, 2388.3866666666668
258.2317151602333, 2284.016111111111
258.6890796462558, 2230.617222222222
259.14640416039845, 2252.4622222222224
259.6036886821393, 2288.8705555555557
260.0609331909561, 2351.9783333333335
