
# Time of snapshot: 2021-03-24T19:01:52Eastern Standard Time
# 0.2 ul spacer oil 0.001 resorufin 20ng 0.004 oil
# Number of frames accumulated: 0
# Scan time per exposure [us]: 100000
 Wavelength [nm], Intensity [RFU]:
580.9921539235664, 5332.607222222222
581.4147683834901, 4820.463333333333
580.9921539235664, 3422.383333333333
581.8373278493451, 5480.667777777778
581.4147683834901, 3495.2
580.9921539235664, 4956.387777777778
580.9921539235664, 3262.1866666666665
581.8373278493451, 4267.056666666666
582.2598323006089, 5055.903888888889
581.8373278493451, 5667.563888888889
581.4147683834901, 5267.072222222222
581.8373278493451, 3565.5894444444443
581.8373278493451, 5225.809444444444
582.6822817167598, 5524.357777777778
582.2598323006089, 3276.75
581.8373278493451, 5160.274444444444
581.4147683834901, 5206.391666666666
580.9921539235664, 3296.1677777777777
581.8373278493451, 3635.978888888889
583.1046760772754, 4483.079444444445
580.9921539235664, 3716.077222222222
581.4147683834901, 5021.922777777778
582.2598323006089, 4944.251666666667
581.4147683834901, 5577.756666666667
582.2598323006089, 3458.7916666666665
581.8373278493451, 4546.187222222222
580.9921539235664, 4031.616111111111
582.2598323006089, 3621.4155555555553
582.2598323006089, 3364.13
582.2598323006089, 4633.567222222222
580.9921539235664, 3412.6744444444444
581.8373278493451, 5213.673333333333
581.8373278493451, 4951.533333333334
581.8373278493451, 4182.103888888889
581.8373278493451, 3660.251111111111
580.5694844900961, 3682.096111111111
582.6822817167598, 4461.234444444444
581.4147683834901, 5230.663888888889
581.4147683834901, 4347.155
581.8373278493451, 5019.495555555555
581.4147683834901, 5111.73
581.8373278493451, 5131.147777777778
583.1046760772754, 4888.425555555556
581.4147683834901, 5194.2555555555555
580.9921539235664, 3694.2322222222224
581.4147683834901, 5046.195
580.146760103601, 3296.1677777777777
582.6822817167598, 4963.669444444445
580.9921539235664, 3366.557222222222
581.8373278493451, 4490.361111111111
581.4147683834901, 4975.805555555556
581.8373278493451, 4881.143888888889
582.2598323006089, 3424.8105555555558
